occurrenceID,type,language,license,eventID,rightsHolder,accessRights,institutionCode,datasetName,ownerInstitutionCode,basisOfREcord,countryCode,Municipality,kingdom,nomenclaturalCode,locality,parentEventID,eventDate,end date,samplingProtocol,eventRemarks,scientificName,genus,specificEpithet,individualCount,verbatimLongitude,verbatimLatitude,decimalLongitude,decimalLattitude,geodeticDatum
modirisk:long:monit:12,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,4/05/2009,6/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Ochlerotatus annulipes,Ochlerotatus,annulipes,2,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:13,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,4/05/2009,6/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Ochlerotatus annulipes,Ochlerotatus,annulipes,2,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:14,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,4/05/2009,6/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Ochlerotatus cantans,Ochlerotatus,cantans,7,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:15,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,4/05/2009,6/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Ochlerotatus punctor,Ochlerotatus,punctor,1,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:16,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,4/05/2009,6/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Ochlerotatus punctor,Ochlerotatus,punctor,5,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:17,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,4/05/2009,6/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Ochlerotatus rusticus,Ochlerotatus,rusticus,108,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:18,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,4/05/2009,6/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Ochlerotatus rusticus,Ochlerotatus,rusticus,228,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:19,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,BG Sentinel ,{trapNumber:1},Aedes cinereus/geminus,Aedes,cinereus/geminus,4,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:20,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,BG Sentinel ,{trapNumber:2},Aedes cinereus/geminus,Aedes,cinereus/geminus,4,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:21,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Aedes cinereus/geminus,Aedes,cinereus/geminus,137,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
