Subcollectie,originalNameUsage,genus,scientificName,specificEpithet,type,language,license,rightsHolder,accessRights,institutionCode,datasetName,ownerInstitutionCode,basisOfREcord,countryCode,geodeticDatum,kingdom,nomenclaturalCode,day,month,year,locality,localityLatitude,LocalityLongitude,municipality,PLacetoGeoref,forGeoReference,Utm5km,recordedBy,identifiedBy,sex,lifestage,preparations,Veld12,catalogNumber,occurrenceID,Column,Provincie
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,13,5,1910, ,,,Gent,Gent,"Gent,  ",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,11,RBINS:modirisk:collection::11,,East Flanders
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,13,5,1910, ,,,Gent,Gent,"Gent,  ",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,12,RBINS:modirisk:collection::12,,East Flanders
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,13,5,1910, ,,,Gent,Gent,"Gent,  ",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-3-Culi-6,13,RBINS:modirisk:collection::13,,East Flanders
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,18,9,1909,Sint-Amandsberg,51.0593304,3.7509905,Gent,Sint-Amandsberg Gent,"Gent, Sint-Amandsberg",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,14,RBINS:modirisk:collection::14,,East Flanders
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,20,8,1896,Ter Kameren,,,Elsene,Ter Kameren Elsene,"Elsene, Ter Kameren",ES93D,E. Coucke,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,15,RBINS:modirisk:collection::15,,Brussels
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,29,7,1919, ,,,Virton,Virton,"Virton,  ",FQ89A,André Léon Tonnoir,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-3-Culi-6,16,RBINS:modirisk:collection::16,,Luxemburg
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,30,7,1919,"Ethe, Laclaireau",,,Virton,Ethe Virton,"Virton, Ethe, Laclaireau",FQ89B,André Léon Tonnoir,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-3-Culi-6,17,RBINS:modirisk:collection::17,,Luxemburg
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,30,9,1909,Sint-Amandsberg,51.0593304,3.7509905,Gent,Sint-Amandsberg Gent,"Gent, Sint-Amandsberg",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,18,RBINS:modirisk:collection::18,,East Flanders
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,5,5,1922,Postel,51.28763,5.19312,Mol,Postel Mol,"Mol, Postel",FS58C,Guilliaume Severin,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,19,RBINS:modirisk:collection::19,,Antwerp
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,,11,1908, ,,,Gent,Gent,"Gent,  ",ES55A,Paul de Moffarts,Paul de Moffarts,Female,Adult,Whole mount,3C-3-Culi-6,20,RBINS:modirisk:collection::20,,East Flanders
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,11,6,1923,Postel,51.28763,5.19312,Mol,Postel Mol,"Mol, Postel",FS58C,Guilliaume Severin,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,21,RBINS:modirisk:collection::21,,Antwerp
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,11,8,1922,Postel,51.28763,5.19312,Mol,Postel Mol,"Mol, Postel",FS58C,Guilliaume Severin,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-3-Culi-6,22,RBINS:modirisk:collection::22,,Antwerp
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,13,1,1894, ,,,Etterbeek,Etterbeek,"Etterbeek,  ",ES93D,E. Coucke,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,23,RBINS:modirisk:collection::23,,Brussels
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,13,1,1894, ,,,Etterbeek,Etterbeek,"Etterbeek,  ",ES93D,E. Coucke,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,24,RBINS:modirisk:collection::24,,Brussels
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,2,4,1894, ,,,Fléron,Fléron,"Fléron,  ",FS81D,E. Coucke,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,25,RBINS:modirisk:collection::25,,Luik
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,21,7,1922,Postel,51.28763,5.19312,Mol,Postel Mol,"Mol, Postel",FS58C,Guilliaume Severin,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-3-Culi-6,26,RBINS:modirisk:collection::26,,Antwerp
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,26,2,1894, ,,,Fléron,Fléron,"Fléron,  ",FS81D,E. Coucke,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,27,RBINS:modirisk:collection::27,,Luik
