collectionCode;datasetName;basisOfRecord;occurrenceID;recordedBy;sex;lifeStage;eventDate;year;yearPeriod;month;day;municipality;locality;decimalLatitude;decimalLongitude;geodeticDatum;identifiedBy;scientificName;kingdom
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:73;E. Coucke;Female;Adult;15/6/1894;1894;< 1900;6;15;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:86;E. Coucke;Female;Adult;2/4/1894;1894;< 1900;4;2;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:95;E. Coucke;Female;Adult;23/4/1894;1894;< 1900;4;23;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:98;E. Coucke;Female;Adult;24/7/1894;1894;< 1900;7;24;Brasschaat;;5.128.459.811.292.420;4.469.791.834.431.180;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:105;E. Coucke;Female;Adult;26/2/1894;1894;< 1900;2;26;Fl̩ron;;5.063.417.213.139.910;56.514.870.605.177;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:111;E. Coucke;Female;Adult;29/3/1894;1894;< 1900;3;29;Evegn̩e;;5.063.254.256.358.510;5.722.109.426.202.700;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:112;E. Coucke;Female;Adult;29/3/1894;1894;< 1900;3;29;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:113;E. Coucke;Male;Adult;29/9/1894;1894;< 1900;9;29;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:115;E. Coucke;Female;Adult;3/4/1894;1894;< 1900;4;3;Evegn̩e;;5.063.254.256.358.510;5.722.109.426.202.700;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:124;E. Coucke;Female;Adult;5/4/1894;1894;< 1900;4;5;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:125;E. Coucke;Female;Adult;5/4/1894;1894;< 1900;4;5;Evegn̩e;;5.063.254.256.358.510;5.722.109.426.202.700;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:143;E. Coucke;Male;Adult;12/10/1894;1894;< 1900;10;12;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:162;E. Coucke;Female;Adult;24/7/1894;1894;< 1900;7;24;Brasschaat;;5.128.459.811.292.420;4.469.791.834.431.180;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:163;E. Coucke;Male;Adult;24/7/1894;1894;< 1900;7;24;Brasschaat;;5.128.459.811.292.420;4.469.791.834.431.180;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:166;E. Coucke;Female;Adult;28/3/1894;1894;< 1900;3;28;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:176;E. Coucke;Male;Adult;8/10/1894;1894;< 1900;10;8;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:219;E. Coucke;Female;Adult;5/6/1894;1894;< 1900;6;5;Oudergem;Rouge-Clǫtre;5.083.512.448.461.180;4.455.625.713.577.010;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus geniculatus;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:981;;Female;Adult;6/4/1894;1894;< 1900;4;6;Walcourt;;50.250.752.539.614.700;44.377.433.104.031.000;WGS84;;Culex pipiens;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:1102;;Female;Adult;24/7/1894;1894;< 1900;7;24;Brasschaat;;5.128.459.811.292.420;4.469.791.834.431.180;WGS84;Wouter Dekoninck;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:42;E. Coucke;Female;Adult;1/5/1895;1895;< 1900;5;1;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:43;E. Coucke;Female;Adult;1/5/1895;1895;< 1900;5;1;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:48;E. Coucke;Male;Adult;10/6/1895;1895;< 1900;6;10;Oudergem;Ter Kameren;5.083.512.448.461.180;4.455.625.713.577.010;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:59;E. Coucke;Male;Adult;12/8/1895;1895;< 1900;8;12;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:79;E. Coucke;Female;Adult;18/4/1895;1895;< 1900;4;18;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:106;E. Coucke;Female;Adult;26/6/1895;1895;< 1900;6;26;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:114;E. Coucke;Male;Adult;3/10/1895;1895;< 1900;10;3;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:149;E. Coucke;Male;Adult;16/11/1895;1895;< 1900;11;16;Malonne;;5.042.566.917.588.320;4.795.012.674.932.660;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:171;E. Coucke;Male;Adult;4/11/1895;1895;< 1900;11;4;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:15;E. Coucke;Female;Adult;20/8/1896;1896;< 1900;8;20;Elsene;Ter Kameren;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Anopheles claviger;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:47;E. Coucke;Female;Adult;10/3/1896;1896;< 1900;3;10;Oudergem;;5.083.512.448.461.180;4.455.625.713.577.010;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:80;E. Coucke;Female;Adult;18/4/1896;1896;< 1900;4;18;Oudergem;;5.083.512.448.461.180;4.455.625.713.577.010;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:83;E. Coucke;Female;Adult;19/8/1896;1896;< 1900;8;19;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Wouter Dekoninck;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:87;E. Coucke;Female;Adult;20/3/1896;1896;< 1900;3;20;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:117;E. Coucke;Female;Adult;3/8/1896;1896;< 1900;8;3;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:142;E. Coucke;Female;Adult;10/3/1896;1896;< 1900;3;10;Oudergem;;5.083.512.448.461.180;4.455.625.713.577.010;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:152;E. Coucke;Female;Adult;18/6/1896;1896;< 1900;6;18;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:155;E. Coucke;Female;Adult;20/3/1896;1896;< 1900;3;20;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:160;E. Coucke;Female;Adult;23/3/1896;1896;< 1900;3;23;Oudergem;Rouge-Clǫtre;5.083.512.448.461.180;4.455.625.713.577.010;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:167;E. Coucke;Male;Adult;28/7/1896;1896;< 1900;7;28;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:169;E. Coucke;Female;Adult;30/3/1896;1896;< 1900;3;30;Watermaal;;5.079.103.769.697.870;4.383.313.667.769.990;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:218;E. Coucke;Female;Adult;31/8/1896;1896;< 1900;8;31;Elsene;Ter Kameren;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus geniculatus;Animalia
