collectionCode;disposition;originalNameUsage;scientificName;genus;specificEpithet;type;language;license;rightsHolder;accessRights;institutionCode;datasetName;ownerInstitutionCode;basisOfREcord;countryCode;geodeticDatum;kingdom;nomenclaturalCode;eventDate;day;month;year;dateLength;locality;localityLatitude;LocalityLongitude;municipality;verbatimCoordinates;recordedBy;identifiedBy;sex;lifestage;preparations;Veld12;catalogNumber;occurrenceID;georeferenceRemarks;stateProvince;verbatimLongitude;verbatimlatitude;TAG;POINT_X;POINT_Y;decimalLongitude;decimalLatitude
RBINS Insect Collection;in collection;Anopheles claviger (Meigen, 1804);Anopheles claviger;Anopheles;claviger;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;13/05/1910;13;5;1910;true;;;;Gent;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;11;RBINS:modirisk:collection:11;centroid of respective UTM square given;East Flanders;10.657.654.039.999.800;19.534.479.320.000.100;ES55A;1.065.765.404;1.953.447.932;37.492.658.563.690.600;5.106.661.661.343.590
RBINS Insect Collection;in collection;Anopheles claviger (Meigen, 1804);Anopheles claviger;Anopheles;claviger;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;13/05/1910;13;5;1910;true;;;;Gent;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;12;RBINS:modirisk:collection:12;centroid of respective UTM square given;East Flanders;10.657.654.039.999.800;19.534.479.320.000.100;ES55A;1.065.765.404;1.953.447.932;37.492.658.563.690.600;5.106.661.661.343.590
RBINS Insect Collection;in collection;Anopheles claviger (Meigen, 1804);Anopheles claviger;Anopheles;claviger;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;13/05/1910;13;5;1910;true;;;;Gent;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-3-Culi-6;13;RBINS:modirisk:collection:13;centroid of respective UTM square given;East Flanders;10.657.654.039.999.800;19.534.479.320.000.100;ES55A;1.065.765.404;1.953.447.932;37.492.658.563.690.600;5.106.661.661.343.590
RBINS Insect Collection;in collection;Anopheles claviger (Meigen, 1804);Anopheles claviger;Anopheles;claviger;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;18/09/1909;18;9;1909;true;Sint-Amandsberg;510.593.304;37.509.905;Gent;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;14;RBINS:modirisk:collection:14;centroid of respective UTM square given;East Flanders;10.657.654.039.999.800;19.534.479.320.000.100;ES55A;1.065.765.404;1.953.447.932;37.492.658.563.690.600;5.106.661.661.343.590
RBINS Insect Collection;in collection;Anopheles claviger (Meigen, 1804);Anopheles claviger;Anopheles;claviger;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;20/8/1896;20;8;1896;true;Ter Kameren;;;Elsene;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;15;RBINS:modirisk:collection:15;centroid of respective UTM square given;Brussels;1.511.193.395.999.960;16.950.813.789.999.800;ES93D;1.511.193.396;1.695.081.379;4.384.642.333.258.970;5.083.598.850.241.610
RBINS Insect Collection;in collection;Anopheles claviger (Meigen, 1804);Anopheles claviger;Anopheles;claviger;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;29/07/1919;29;7;1919;true;;;;Virton;FQ89A;André Léon Tonnoir;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-3-Culi-6;16;RBINS:modirisk:collection:16;centroid of respective UTM square given;Luxemburg;2.336.450.284.999.980;32.958.542.199.999.000;FQ89A;2.336.450.285;329.585.422;5.525.862.698.756.430;4.960.249.215.032.500
RBINS Insect Collection;in collection;Anopheles claviger (Meigen, 1804);Anopheles claviger;Anopheles;claviger;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;30/07/1919;30;7;1919;true;Ethe, Laclaireau;;;Virton;FQ89B;André Léon Tonnoir;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-3-Culi-6;17;RBINS:modirisk:collection:17;centroid of respective UTM square given;Luxemburg;2.386.444.311.999.970;3.286.862.269.999.830;FQ89B;2.386.444.312;328.686.227;55.949.906.104.220.400;49.600.962.091.625.200
RBINS Insect Collection;in collection;Anopheles claviger (Meigen, 1804);Anopheles claviger;Anopheles;claviger;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;30/09/1909;30;9;1909;true;Sint-Amandsberg;510.593.304;37.509.905;Gent;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;18;RBINS:modirisk:collection:18;centroid of respective UTM square given;East Flanders;10.657.654.039.999.800;19.534.479.320.000.100;ES55A;1.065.765.404;1.953.447.932;37.492.658.563.690.600;5.106.661.661.343.590
RBINS Insect Collection;in collection;Anopheles claviger (Meigen, 1804);Anopheles claviger;Anopheles;claviger;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;5/05/1922;5;5;1922;true;Postel;5.128.763;51.931.199.999.999.900;Mol;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;19;RBINS:modirisk:collection:19;centroid of respective UTM square given;Antwerp;20.705.183.349.999.700;2.184.847.379;FS58C;2.070.518.335;2.184.847.379;5.186.294.567.506.460;5.127.340.790.203.180
RBINS Insect Collection;in collection;Anopheles maculipennis s.s. Meigen, 1818;Anopheles maculipennis;Anopheles;maculipennis;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;nov/08;;11;1908;true;;;;Gent;ES55A;Paul de Moffarts;Paul de Moffarts;Female;Adult;Whole mount;3C-3-Culi-6;20;RBINS:modirisk:collection:20;centroid of respective UTM square given;East Flanders;10.657.654.039.999.800;19.534.479.320.000.100;ES55A;1.065.765.404;1.953.447.932;37.492.658.563.690.600;5.106.661.661.343.590
