eventID,type,language,licence,rightsHolder,institutionCode,datasetName,locationID,dateIdentified,decimalLatitude,decimalLongitude,habitat,municipality,comments,eventDate
ITG:MOSQ:LARV:EV:M2L010Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L010,2012/9/13,50.959876,5.56041,water through,Zutendaal,"in meadow, Wiemesmeer",2012/8/30
ITG:MOSQ:LARV:EV:M2L010Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L010,2012/7/26,50.959876,5.56041,water through,Zutendaal,"in meadow, Wiemesmeer",2012/7/25
ITG:MOSQ:LARV:EV:M2L010Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L010,2012/10/23,50.959876,5.56041,water through,Zutendaal,"in meadow, Wiemesmeer",2012/10/17
ITG:MOSQ:LARV:EV:M2L010Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L010,2012/10/3,50.959876,5.56041,water through,Zutendaal,"in meadow, Wiemesmeer",2012/9/26
ITG:MOSQ:LARV:EV:M2L011Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L011,2012/7/26,50.959844,5.560445,puddle,Zutendaal,"in meadow, Wiemesmeer",2012/7/25
ITG:MOSQ:LARV:EV:M2L012Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L012,2012/8/9,50.963654,5.554426,bucket,Zutendaal,next to old house in forest,2012/7/25
ITG:MOSQ:LARV:EV:M2L013Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L013,2012/7/26,50.96364,5.554471,bucket,Zutendaal,next to old house in forest,2012/7/25
ITG:MOSQ:LARV:EV:M2L014Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L014,2012/7/30,51.014708,5.588637,water through,As,"Niel-bij-As, in meadow",2012/7/25
ITG:MOSQ:LARV:EV:M2L015Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L015,2012/7/31,51.016441,5.589064,water through,As,"Niel-bij-As, next to meadow",2012/7/25
ITG:MOSQ:LARV:EV:M2L016Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L016,2012/8/2,51.015543,5.597542,water through,As,"Niel-bij-As, in meadow",2012/7/25
ITG:MOSQ:LARV:EV:M2L016Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L016,2012/10/23,51.015543,5.597542,water through,As,"Niel-bij-As, in meadow",2012/10/17
ITG:MOSQ:LARV:EV:M2L016Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L016,2012/10/3,51.015543,5.597542,water through,As,"Niel-bij-As, in meadow",2012/9/26
ITG:MOSQ:LARV:EV:M2L017Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L017,2012/10/25,51.01663,5.600211,water through,As,"Niel-bij-As, in meadow",2012/10/17
ITG:MOSQ:LARV:EV:M2L017Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L017,2012/10/3,51.01663,5.600211,water through,As,"Niel-bij-As, in meadow",2012/9/26
ITG:MOSQ:LARV:EV:M2L019Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L019,2012/9/13,50.996691,5.621658,bucket,Maasmechelen,on private property of APK Infra & Bouw,2012/8/30
ITG:MOSQ:LARV:EV:M2L019Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L019,2012/10/18,50.996691,5.621658,bucket,Maasmechelen,on private property of APK Infra & Bouw,2012/10/17
ITG:MOSQ:LARV:EV:M2L019Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L019,2012/10/2,50.996691,5.621658,bucket,Maasmechelen,on private property of APK Infra & Bouw,2012/9/26
ITG:MOSQ:LARV:EV:M2L020Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L020,2012/9/13,50.996136,5.621494,metal container,Maasmechelen,on private property of APK Infra & Bouw,2012/8/30
ITG:MOSQ:LARV:EV:M2L020Oc1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L020,2012/10/18,50.996136,5.621494,metal container,Maasmechelen,on private property of APK Infra & Bouw,2012/10/17
ITG:MOSQ:LARV:EV:M2L020Oc2,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L020,2012/10/31,50.996136,5.621494,metal container,Maasmechelen,on private property of APK Infra & Bouw,2012/10/31
ITG:MOSQ:LARV:EV:M2L020Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L020,2012/10/2,50.996136,5.621494,metal container,Maasmechelen,on private property of APK Infra & Bouw,2012/9/26
ITG:MOSQ:LARV:EV:M2L021Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L021,2012/9/13,50.9977608044105,5.6225054870487,tyre,Maasmechelen,APK Infra & Bouw,2012/8/30
ITG:MOSQ:LARV:EV:M2L021Oc1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L021,2012/10/18,50.9977608044105,5.6225054870487,tyre,Maasmechelen,APK Infra & Bouw,2012/10/17
ITG:MOSQ:LARV:EV:M2L021Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L021,2012/10/2,50.9977608044105,5.6225054870487,tyre,Maasmechelen,APK Infra & Bouw,2012/9/26
ITG:MOSQ:LARV:EV:M2L022Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L022,2012/9/13,50.997734,5.622481,plastic sheet,Maasmechelen,APK Infra & Bouw,2012/8/30
ITG:MOSQ:LARV:EV:M2L022Oc1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L022,2012/10/18,50.997734,5.622481,plastic sheet,Maasmechelen,APK Infra & Bouw,2012/10/17
ITG:MOSQ:LARV:EV:M2L022Oc2,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L022,2012/10/25,50.997734,5.622481,plastic sheet,Maasmechelen,APK Infra & Bouw,2012/10/24
ITG:MOSQ:LARV:EV:M2L022Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L022,2012/10/2,50.997734,5.622481,plastic sheet,Maasmechelen,APK Infra & Bouw,2012/9/26
ITG:MOSQ:LARV:EV:M2L023Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L023,2012/9/13,50.994774,5.672062,tyre,Maasmechelen,close to road,2012/8/30
ITG:MOSQ:LARV:EV:M2L023Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L023,2012/10/25,50.994774,5.672062,tyre,Maasmechelen,close to road,2012/10/24
ITG:MOSQ:LARV:EV:M2L023Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L023,2012/10/2,50.994774,5.672062,tyre,Maasmechelen,close to road,2012/9/19
ITG:MOSQ:LARV:EV:M2L024Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L024,2012/9/13,50.992849,5.633004,plastic container,Maasmechelen,close to car cemetry Armand Lowie,2012/8/30
ITG:MOSQ:LARV:EV:M2L024Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L024,2012/10/23,50.992849,5.633004,plastic container,Maasmechelen,close to car cemetry Armand Lowie,2012/10/17
ITG:MOSQ:LARV:EV:M2L024Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L024,2012/10/2,50.992849,5.633004,plastic container,Maasmechelen,close to car cemetry Armand Lowie,2012/9/19
ITG:MOSQ:LARV:EV:M2L025Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L025,2012/9/13,50.992564,5.632722,tyre,Maasmechelen,next to car cemetry Armand Lowie,2012/8/30
ITG:MOSQ:LARV:EV:M2L025Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L025,2012/10/23,50.992564,5.632722,tyre,Maasmechelen,next to car cemetry Armand Lowie,2012/10/17
ITG:MOSQ:LARV:EV:M2L025Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L025,2012/10/2,50.992564,5.632722,tyre,Maasmechelen,next to car cemetry Armand Lowie,2012/9/19
ITG:MOSQ:LARV:EV:M2L026Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L026,2012/9/13,50.995305,5.634417,plastic sheet,Maasmechelen,Grondzorg Limburg NV at end of road next to Mechelse Bos,2012/8/30
ITG:MOSQ:LARV:EV:M2L026Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L026,2012/10/23,50.995305,5.634417,plastic sheet,Maasmechelen,Grondzorg Limburg NV at end of road next to Mechelse Bos,2012/10/17
ITG:MOSQ:LARV:EV:M2L026Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L026,2012/10/2,50.995305,5.634417,plastic sheet,Maasmechelen,Grondzorg Limburg NV at end of road next to Mechelse Bos,2012/9/19
ITG:MOSQ:LARV:EV:M2L029Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L029,2012/10/2,50.996684,5.621599,metal container,Maasmechelen,on private property of APK Infra & Bouw,2012/9/26
ITG:MOSQ:LARV:EV:M2L030Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L030,2012/10/2,50.99201,5.624144,metal container,Maasmechelen,entrance car cemetry Armand Lowie,2012/9/26
ITG:MOSQ:LARV:EV:M2L033Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L033,2012/10/25,51.016436,5.589155,plastic container,As,"Niel-bij-As, next to meadow (next to M2L015)",2012/10/17
ITG:MOSQ:LARV:EV:M2L033Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L033,2012/10/3,51.016436,5.589155,plastic container,As,"Niel-bij-As, next to meadow (next to M2L015)",2012/9/26
ITG:MOSQ:LARV:EV:M2L035Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L035,2012/10/25,50.996316,5.621583,bucket,Maasmechelen,"black bucket, on private property of APK Infra & Bouw",2012/10/17
ITG:MOSQ:LARV:EV:M2L037Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L037,2012/10/25,51.003673,5.634747,water trough,Dilsen-Stokkem,horse meadow with a lot of water troughs,2012/10/17
ITG:MOSQ:LARV:EV:M2L038Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L038,2012/10/25,50.997802,5.605077,metal container,Maasmechelen,Sand and gravel quarry,2012/10/24
ITG:MOSQ:LARV:EV:M2L039Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L039,2012/10/25,50.994426,5.604197,tyre,Maasmechelen,Sand and gravel quarry,2012/10/24
ITG:MOSQ:LARV:EV:M2L040Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,M2L040,2012/10/25,50.994709,5.674278,water recipient for flowers,Maasmechelen,cemetry,2012/10/24
ITG:MOSQ:LARV:EV:N1L001Ap1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L001,2012/4/17,50.339200617,5.0457397,tyre,Hamois,"Natoye, Havelange",2012/4/13
ITG:MOSQ:LARV:EV:N1L001Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L001,2012/9/11,50.339200617,5.0457397,tyre,Hamois,"Natoye, Havelange",2012/8/24
ITG:MOSQ:LARV:EV:N1L001Ju2,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L001,2012/8/9,50.339200617,5.0457397,tyre,Hamois,"Natoye, Havelange",2012/6/26
ITG:MOSQ:LARV:EV:N1L001Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L001,2012/7/30,50.339200617,5.0457397,tyre,Hamois,"Natoye, Havelange",2012/7/27
ITG:MOSQ:LARV:EV:N1L001Oc1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L001,2012/10/25,50.339200617,5.0457397,tyre,Hamois,"Natoye, Havelange",2012/10/19
ITG:MOSQ:LARV:EV:N1L001Oc2,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L001,2012/10/31,50.339200617,5.0457397,tyre,Hamois,"Natoye, Havelange",2012/10/26
ITG:MOSQ:LARV:EV:N1L001Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L001,2012/10/1,50.339200617,5.0457397,tyre,Hamois,"Natoye, Havelange",2012/9/20
ITG:MOSQ:LARV:EV:N1L002Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L002,2012/7/30,50.338784,5.044747,tree hole,Hamois,"Natoye, Havelange",2012/7/27
ITG:MOSQ:LARV:EV:N1L004Ap1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L004,2012/4/17,50.3358627277969,5.0716363022496,tyre,Hamois,"Natoye, N2 Sarri Pneus",2012/4/13
ITG:MOSQ:LARV:EV:N1L004Ap2,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L004,2012/4/30,50.3358627277969,5.0716363022496,tyre,Hamois,"Natoye, N2 Sarri Pneus",2012/4/27
ITG:MOSQ:LARV:EV:N1L004Au1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L004,2012/8/8,50.3358627277969,5.0716363022496,tyre,Hamois,"Natoye, N2 Sarri Pneus",2012/8/3
ITG:MOSQ:LARV:EV:N1L004Au2,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L004,2012/9/12,50.3358627277969,5.0716363022496,tyre,Hamois,"Natoye, N2 Sarri Pneus",2012/8/24
ITG:MOSQ:LARV:EV:N1L004Ju1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L004,2012/8/9,50.3358627277969,5.0716363022496,tyre,Hamois,"Natoye, N2 Sarri Pneus",2012/6/5
ITG:MOSQ:LARV:EV:N1L004Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L004,2012/10/25,50.3358627277969,5.0716363022496,tyre,Hamois,"Natoye, N2 Sarri Pneus",2012/10/19
ITG:MOSQ:LARV:EV:N1L004Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L004,2012/10/1,50.3358627277969,5.0716363022496,tyre,Hamois,"Natoye, N2 Sarri Pneus",2012/9/20
ITG:MOSQ:LARV:EV:N1L009Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L009,2012/9/12,50.331197,5.031301,rain water barrel,Ciney,"Vincon, + 2 buckets",2012/8/24
ITG:MOSQ:LARV:EV:N1L009Ju2,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L009,2012/8/10,50.331197,5.031301,rain water barrel,Ciney,"Vincon, + 2 buckets",2012/6/26
