Subcollectie,originalNameUsage,genus,scientificName,specificEpithet,type,language,license,rightsHolder,accessRights,institutionCode,datasetName,ownerInstitutionCode,basisOfREcord,countryCode,geodeticDatum,kingdom,nomenclaturalCode,eventDate,locality,localityLatitude,LocalityLongitude,municipality,PLacetoGeoref,forGeoReference,Utm5km,recordedBy,identifiedBy,sex,lifestage,preparations,Veld12,catalogNumber,occurrenceID,Column,Provincie,X,Y,TAG,POINT_X,POINT_Y,decimalLongitude,decimalLatitude,datasetName2,georeferenceRemarks
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,13/5/1910, ,,,Gent,Gent,"Gent,  ",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,11,RBINS:modirisk:collection::11,,East Flanders,106576.54039999844,195344.79320000112,ES55A,106576.5404,195344.7932,3.7492658563690693,51.06661661343593,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,13/5/1910, ,,,Gent,Gent,"Gent,  ",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,12,RBINS:modirisk:collection::12,,East Flanders,106576.54039999844,195344.79320000112,ES55A,106576.5404,195344.7932,3.7492658563690693,51.06661661343593,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,13/5/1910, ,,,Gent,Gent,"Gent,  ",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-3-Culi-6,13,RBINS:modirisk:collection::13,,East Flanders,106576.54039999844,195344.79320000112,ES55A,106576.5404,195344.7932,3.7492658563690693,51.06661661343593,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,18/9/1909,Sint-Amandsberg,51.0593304,3.7509905,Gent,Sint-Amandsberg Gent,"Gent, Sint-Amandsberg",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,14,RBINS:modirisk:collection::14,,East Flanders,106576.54039999844,195344.79320000112,ES55A,106576.5404,195344.7932,3.7492658563690693,51.06661661343593,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,20/8/1896,Ter Kameren,,,Elsene,Ter Kameren Elsene,"Elsene, Ter Kameren",ES93D,E. Coucke,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,15,RBINS:modirisk:collection::15,,Brussels,151119.3395999968,169508.13789999858,ES93D,151119.3396,169508.1379,4.384642333258973,50.83598850241617,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,29/7/1919, ,,,Virton,Virton,"Virton,  ",FQ89A,André Léon Tonnoir,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-3-Culi-6,16,RBINS:modirisk:collection::16,,Luxemburg,233645.0284999981,32958.542199999094,FQ89A,233645.0285,32958.5422,5.525862698756433,49.60249215032507,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,30/7/1919,"Ethe, Laclaireau",,,Virton,Ethe Virton,"Virton, Ethe, Laclaireau",FQ89B,André Léon Tonnoir,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-3-Culi-6,17,RBINS:modirisk:collection::17,,Luxemburg,238644.4311999977,32868.62269999832,FQ89B,238644.4312,32868.6227,5.5949906104220455,49.600962091625235,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,30/9/1909,Sint-Amandsberg,51.0593304,3.7509905,Gent,Sint-Amandsberg Gent,"Gent, Sint-Amandsberg",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,18,RBINS:modirisk:collection::18,,East Flanders,106576.54039999844,195344.79320000112,ES55A,106576.5404,195344.7932,3.7492658563690693,51.06661661343593,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,5/5/1922,Postel,51.28763,5.1931199999999995,Mol,Postel Mol,"Mol, Postel",FS58C,Guilliaume Severin,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,19,RBINS:modirisk:collection::19,,Antwerp,207051.83349999785,218484.7379,FS58C,207051.8335,218484.7379,5.186294567506461,51.27340790203188,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,11/1908, ,,,Gent,Gent,"Gent,  ",ES55A,Paul de Moffarts,Paul de Moffarts,Female,Adult,Whole mount,3C-3-Culi-6,20,RBINS:modirisk:collection::20,,East Flanders,106576.54039999844,195344.79320000112,ES55A,106576.5404,195344.7932,3.7492658563690693,51.06661661343593,Modirisk_collection_data,georeference_attempt
