id	type	license	institutionCode	basisOfRecord	dynamicProperties	occurrenceID	individualCount	sex	samplingProtocol	eventDate	year	verbatimEventDate	habitat	continent	country	countryCode	stateProvince	municipality	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	identifiedBy	scientificName	genus	specificEpithet
MODIRISK:4073	Event	CC BY 2.0 BE	KBIN	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=true;Landscape=rural	MODIRISK:4073	1	Male	Mosquito Magnet Liberty Plus	2007-01-01	2007	2007-01-01/2007-07-30	nature	Europe	Belgium	BE	Luxembourg	Musson	N82		49.5910301199999992	5.63486003900000032	EPSG:4326	Stéphane	Culiseta sp	Culiseta	sp
MODIRISK:4074	Event	CC BY 2.0 BE	KBIN	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=true;Landscape=rural	MODIRISK:4074	4	Female	Mosquito Magnet Liberty Plus	2007-01-01	2007	2007-01-01/2007-07-30	nature	Europe	Belgium	BE	Luxembourg	Musson	N82		49.5910301199999992	5.63486003900000032	EPSG:4326	Stéphane	Culex pipiens	Culex	pipiens
MODIRISK:4075	Event	CC BY 2.0 BE	KBIN	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=true;Landscape=rural	MODIRISK:4075	4	Female	Mosquito Magnet Liberty Plus	2007-01-01	2007	2007-01-01/2007-07-30	nature	Europe	Belgium	BE	Luxembourg	Musson	N82		49.5910301199999992	5.63486003900000032	EPSG:4326	Stéphane	Anopheles plumbeus	Anopheles	plumbeus
MODIRISK:4085	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4085	14	Female	Mosquito Magnet Liberty Plus	2008-05-13	2008	2008-05-13/2008-05-20	nature	Europe	Belgium	BE	Limburg	Opglabbeek	43 Fazantenstraat	in tuin nabij bosgebied	51.0275802600000006	5.54097986200000037	EPSG:4326	Veerle	Ochlerotatus punctor	Ochlerotatus	punctor
MODIRISK:4086	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4086	1	Female	Mosquito Magnet Liberty Plus	2008-05-13	2008	2008-05-13/2008-05-20	nature	Europe	Belgium	BE	Limburg	Opglabbeek	43 Fazantenstraat	in tuin nabij bosgebied	51.0275802600000006	5.54097986200000037	EPSG:4326	Veerle	Culex pipiens	Culex	pipiens
MODIRISK:4087	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4087	2	Female	Mosquito Magnet Liberty Plus	2008-05-13	2008	2008-05-13/2008-05-20	nature	Europe	Belgium	BE	Limburg	Opglabbeek	43 Fazantenstraat	in tuin nabij bosgebied	51.0275802600000006	5.54097986200000037	EPSG:4326	Veerle	Culiseta morsitans	Culiseta	morsitans
MODIRISK:4088	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4088	1	Female	Mosquito Magnet Liberty Plus	2008-05-13	2008	2008-05-13/2008-05-20	nature	Europe	Belgium	BE	Limburg	Opglabbeek	43 Fazantenstraat	in tuin nabij bosgebied	51.0275802600000006	5.54097986200000037	EPSG:4326	Veerle	Culiseta sp	Culiseta	sp
MODIRISK:4089	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4089	2	Female	Mosquito Magnet Liberty Plus	2008-05-13	2008	2008-05-13/2008-05-20	nature	Europe	Belgium	BE	Limburg	Opglabbeek	43 Fazantenstraat	in tuin nabij bosgebied	51.0275802600000006	5.54097986200000037	EPSG:4326	Veerle	Ochlerotatus cantans	Ochlerotatus	cantans
MODIRISK:4090	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4090	4	Female	Mosquito Magnet Liberty Plus	2008-05-13	2008	2008-05-13/2008-05-20	nature	Europe	Belgium	BE	Limburg	Opglabbeek	43 Fazantenstraat	in tuin nabij bosgebied	51.0275802600000006	5.54097986200000037	EPSG:4326	Veerle	Aedes cinereus/geminus	Aedes	cinereus/geminus
MODIRISK:4091	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4091	1	Female	Mosquito Magnet Liberty Plus	2008-05-13	2008	2008-05-13/2008-05-20	nature	Europe	Belgium	BE	Limburg	Opglabbeek	43 Fazantenstraat	in tuin nabij bosgebied	51.0275802600000006	5.54097986200000037	EPSG:4326	Veerle	Anopheles plumbeus	Anopheles	plumbeus
MODIRISK:4092	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4092	1	Female	Mosquito Magnet Liberty Plus	2008-05-13	2008	2008-05-13/2008-05-20	nature	Europe	Belgium	BE	Limburg	Opglabbeek	43 Fazantenstraat	in tuin nabij bosgebied	51.0275802600000006	5.54097986200000037	EPSG:4326	Veerle	Aedes sp	Aedes	sp
MODIRISK:4093	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4093	1	Female	Mosquito Magnet Liberty Plus	2008-05-13	2008	2008-05-13/2008-05-20	nature	Europe	Belgium	BE	Limburg	Opglabbeek	43 Fazantenstraat	in tuin nabij bosgebied	51.0275802600000006	5.54097986200000037	EPSG:4326	Veerle	Ochlerotatus rusticus	Ochlerotatus	rusticus
