id	type	license	institutionCode	basisOfRecord	dynamicProperties	occurrenceID	individualCount	sex	samplingProtocol	eventDate	year	verbatimEventDate	habitat	continent	country	countryCode	stateProvince	municipality	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	identifiedBy	scientificName	genus	specificEpithet
MODIRISK:4242	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=rural	MODIRISK:4242	1	Female	Mosquito Magnet Liberty Plus	2008-06-23	2008	2008-06-23/2008-06-30	nature	Europe	Belgium	BE	Liege	Terwagne	4 Rue du Cul-de-Sac		50.4308090199999981	5.37004995299999965	EPSG:4326	Veerle	Anopheles claviger	Anopheles	claviger
MODIRISK:4243	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=rural	MODIRISK:4243	2	Female	Mosquito Magnet Liberty Plus	2008-06-23	2008	2008-06-23/2008-06-30	nature	Europe	Belgium	BE	Liege	Terwagne	4 Rue du Cul-de-Sac		50.4308090199999981	5.37004995299999965	EPSG:4326	Veerle	Ochlerotatus geniculatus	Ochlerotatus	geniculatus
MODIRISK:4244	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=rural	MODIRISK:4244	1	Male	Mosquito Magnet Liberty Plus	2008-06-23	2008	2008-06-23/2008-06-30	nature	Europe	Belgium	BE	Liege	Terwagne	4 Rue du Cul-de-Sac		50.4308090199999981	5.37004995299999965	EPSG:4326	Veerle	Ochlerotatus geniculatus	Ochlerotatus	geniculatus
MODIRISK:4245	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=rural	MODIRISK:4245	2	Female	Mosquito Magnet Liberty Plus	2008-06-23	2008	2008-06-23/2008-06-30	nature	Europe	Belgium	BE	Liege	Terwagne	4 Rue du Cul-de-Sac		50.4308090199999981	5.37004995299999965	EPSG:4326	Veerle	Anopheles sp	Anopheles	sp
MODIRISK:4263	Event	CC BY 2.0 BE	KBIN	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=rural	MODIRISK:4263	5	Female	Mosquito Magnet Liberty Plus	2008-06-09	2008	2008-06-09/2008-06-16	nature	Europe	Belgium	BE	Namur	Bourseigne-Vieille	Rue Les Eaux		49.9706497199999973	4.83222007799999975	EPSG:4326	Claire	Ochlerotatus geniculatus	Ochlerotatus	geniculatus
MODIRISK:4264	Event	CC BY 2.0 BE	KBIN	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=rural	MODIRISK:4264	2	Female	Mosquito Magnet Liberty Plus	2008-06-09	2008	2008-06-09/2008-06-16	nature	Europe	Belgium	BE	Namur	Bourseigne-Vieille	Rue Les Eaux		49.9706497199999973	4.83222007799999975	EPSG:4326	Claire	Ochlerotatus punctor	Ochlerotatus	punctor
MODIRISK:4265	Event	CC BY 2.0 BE	KBIN	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=rural	MODIRISK:4265	1	Female	Mosquito Magnet Liberty Plus	2008-06-09	2008	2008-06-09/2008-06-16	nature	Europe	Belgium	BE	Namur	Bourseigne-Vieille	Rue Les Eaux		49.9706497199999973	4.83222007799999975	EPSG:4326	Claire	Ochlerotatus sp	Ochlerotatus	sp
MODIRISK:4312	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4312	27	Female	Mosquito Magnet Liberty Plus	2008-08-04	2008	2008-08-04/2008-08-11	urban	Europe	Belgium	BE	Flemish Brabant	Londerzeel		regenton, composthoop	51.0317192099999986	4.30282020599999981	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4313	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4313	1	Male	Mosquito Magnet Liberty Plus	2008-08-04	2008	2008-08-04/2008-08-11	urban	Europe	Belgium	BE	Flemish Brabant	Londerzeel		regenton, composthoop	51.0317192099999986	4.30282020599999981	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4314	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=true;Potential breeding site=true;Landscape=urban	MODIRISK:4314	1	Female	Mosquito Magnet Liberty Plus	2008-07-29	2008	2008-07-29/2008-08-05	urban	Europe	Belgium	BE	Flemish Brabant	Drieslinter		vijver in tuin	50.8141288799999984	5.01203012499999989	EPSG:4326	Wouter Dekoninck	Culiseta annulata	Culiseta	annulata
