samplingID,genus,lifeStage,locationID,sex,scientificName,Tubenumber,occurrenceRemarks,dateIdentified,individualCount,identifiedBy,decimalLatitude,decimalLongitude,habitat,municipality,comments
M2L006Jul,Culex,Larva,M2L006,NA,pipiens/torrentium,EL031,,2012/8/2 0:00:00,39,Isra Deblauwe,"50,99","5,63",tyre,Maasmechelen,Grondzorg Limburg NV at end of road next to Mechelse Bos
DIL001Aug,Culex,Larva,DIL001,NA,pipiens/torrentium,EL032,,2012/8/2 0:00:00,58,Isra Deblauwe,"51,03","5,39",tyre,Houthalen-Helchteren,
TRL001Au1,Culex,Larva,TRL001,NA,pipiens/torrentium,EL033,,2012/8/2 0:00:00,49,Isra Deblauwe,"50,47","4,14",tyre,La Louviere,outside
N1L020Jul,Culex,Larva,N1L020,NA,pipiens/torrentium,EL034,,2012/7/31 0:00:00,2,Isra Deblauwe,"50,31","5,00",water trough,Yvoir,3 water troughs in front of football field
N1L004Au1,Culex,Larva,N1L004,NA,pipiens/torrentium,EL035,also 9/8/12 ID,2012/8/8 0:00:00,138,Isra Deblauwe,"50,33","5,07",tyre,Hamois,"Natoye, N2 Sarri Pneus"
N1L004Au1,Anopheles,Larva,N1L004,NA,plumbeus,EL036,,2012/8/10 0:00:00,2,Isra Deblauwe,"50,33","5,07",tyre,Hamois,"Natoye, N2 Sarri Pneus"
ATL001Au1,Aedes,Larva,ATL001,NA,geniculatus,EL037,,2012/8/8 0:00:00,1,Isra Deblauwe,"51,21","4,19",tyre,Beveren,Vrasene
ATL001Au1,Culex,Larva,ATL001,NA,pipiens/torrentium,EL038,,2012/8/8 0:00:00,5,Isra Deblauwe,"51,21","4,19",tyre,Beveren,Vrasene
ATL001Au1,Anopheles,Larva,ATL001,NA,plumbeus,EL039,1 broken,2012/8/8 0:00:00,4,Isra Deblauwe,"51,21","4,19",tyre,Beveren,Vrasene
M2L007Jul,Culex,Larva,M2L007,NA,pipiens/torrentium,EL040,,2012/8/8 0:00:00,11,Isra Deblauwe,"50,97","5,65",puddle,Maasmechelen,in Nationaal Park Hoge Kempen
N1L019Jul,Culex,Larva,N1L019,NA,pipiens/torrentium,EL041,on plastic sheet,2012/8/8 0:00:00,24,Isra Deblauwe,"50,33","5,03",plastic sheet,Ciney,plastic on ground
M2L012Jul,Culex,Larva,M2L012,NA,pipiens/torrentium,EL042,,2012/8/9 0:00:00,34,Isra Deblauwe,"50,96","5,55",bucket,Zutendaal,next to old house in forest
TRL001Au1,Culiseta,Larva,TRL001,NA,annulata,EL043,,2012/8/9 0:00:00,8,Isra Deblauwe,"50,47","4,14",tyre,La Louviere,outside
TRL001Au1,Anopheles,Larva,TRL001,NA,plumbeus,EL044,,2012/8/9 0:00:00,1,Isra Deblauwe,"50,47","4,14",tyre,La Louviere,outside
TRL002Au1,Culex,Larva,TRL002,NA,pipiens/torrentium,EL045,,2012/8/9 0:00:00,26,Isra Deblauwe,"50,47","4,14",tyre,La Louviere,inside
TRL002Au1,Culex,Larva,TRL002,NA,h. hortensis,EL046,,2012/8/9 0:00:00,1,Isra Deblauwe,"50,47","4,14",tyre,La Louviere,inside
TRL002Au1,Anopheles,Larva,TRL002,NA,plumbeus,EL047,,2012/8/9 0:00:00,33,Isra Deblauwe,"50,47","4,14",tyre,La Louviere,inside
N1L010Ju2,Culex,Larva,N1L010,NA,pipiens/torrentium,EL048,tyres next to stable,2012/8/9 0:00:00,7,Isra Deblauwe,"50,33","5,03",tyre,Ciney,"Vincon, on silage & next to stable"
N1L011Ju2,Anopheles,Larva,N1L011,NA,maculipennis/messae,EL049,,2012/8/9 0:00:00,14,Isra Deblauwe,"50,32","5,03",water trough,Ciney,"Reuleau, open tank"
N1L001Ju2,Culex,Larva,N1L001,NA,pipiens/torrentium,EL050,,2012/8/9 0:00:00,2,Isra Deblauwe,"50,33","5,04",tyre,Hamois,"Natoye, Havelange"
N1L016Jun,Aedes,Adult,N1L016,F,geniculatus,EL051,,2012/8/9 0:00:00,1,Isra Deblauwe,"50,34","5,06",tyre,Hamois,"Natoye, on silage"
N1L016Jun,Culex,Larva,N1L016,NA,pipiens/torrentium,EL052,,2012/8/9 0:00:00,27,Isra Deblauwe,"50,34","5,06",tyre,Hamois,"Natoye, on silage"
N1L016Jun,Culiseta,Larva,N1L016,NA,annulata,EL053,,2012/8/9 0:00:00,3,Isra Deblauwe,"50,34","5,06",tyre,Hamois,"Natoye, on silage"
N1L004Ju1,Aedes,Larva,N1L004,NA,geniculatus,EL054,tyres at the back,2012/8/9 0:00:00,2,Isra Deblauwe,"50,33","5,07",tyre,Hamois,"Natoye, N2 Sarri Pneus"
