"Breeding Site Code";"Subsite Code";"Site Code";"Larval Habitat Type";"Larval Habitat Surface (m²)";"Address";"Municipality";"Zip Code";"Longitude";"Latitude";"Land Cover Level 1";"Land Cover Level 2";"Land Cover Level 3";"Comments"
"N1L003";"N1007";"N1";"tree hole";"0,01";"Rue de Lenny 103";"Hamois";5360,00;"5,040579";"50,33775";"3 Forest and semi-natural areas";;;"Natoye, Bois Henrard"
"N1L004";"N1007";"N1";"tyre";"0,1";"Chaussée de Namur 7";"Hamois";5360,00;"5,0716363022496";"50,3358627277969";"2 Agricultural areas";;;"Natoye, N2 Sarri Pneus"
"N1L005";"N1001";"N1";"water trough";"0,5";"Rue de la Gozée 35";"Hamois";5360,00;"5,036792";"50,342681";"2 Agricultural areas";;;"Natoye"
"N1L006";"N1002";"N1";"water trough";"3";"Rue de la Gozee 38";"Hamois";5360,00;"5,035509379";"50,341907037";"2 Agricultural areas";;;"Natoye"
"N1L007";"N1003";"N1";"rain water barrel";"0,13";"Rue des Rosticheux 9";"Ciney";5590,00;"5,035870076";"50,335481202";"3 Forest and semi-natural areas";;;"Vincon"
"N1L008";"N1004";"N1";"puddle";"9";"Rue du Bois Henrard 23";"Ciney";5590,00;"5,0370415069903";"50,3336308811245";"3 Forest and semi-natural areas";;;"Vincon"
"N1L009";"N1005";"N1";"rain water barrel";"0,13";"Rue de la Cense de Vincon 3";"Ciney";5590,00;"5,031301";"50,331197";"3 Forest and semi-natural areas";;;"Vincon, + 2 buckets"
"N1L010";"N1005";"N1";"tyre";"0,05";"Rue de la Cense de Vincon 3";"Ciney";5590,00;"5,0328486104137";"50,3316001165932";"3 Forest and semi-natural areas";;;"Vincon, on silage & next to stable"
"N1L011";"N1006";"N1";"water trough";"3";"Rue de Spontin";"Ciney";5590,00;"5,035719";"50,327532";"3 Forest and semi-natural areas";;;"Reuleau, open tank"
"N1L012";"N1014";"N1";"tyre";"0,1";"Rue de la Cense de Vincon";"Ciney";5590,00;"5,028772";"50,328419";"3 Forest and semi-natural areas";;;"Vincon, tyres in field"
"N1L013";"N1017";"N1";"tyre";"0,05";"Chaussée de Namur";"Hamois";5360,00;"5,074139";"50,33597";"2 Agricultural areas";;;"Natoye, tyres in field"
"N1L014";"N1018";"N1";"tyre";"0,05";"Rue de la Dauphine";"Ciney";5590,00;"5,027415";"50,32406";"3 Forest and semi-natural areas";;;"Reuleau, on silage"
"N1L015";"N1019";"N1";"tyre";"0,1";"Chaussée de Huy";"Assesse";5330,00;"5,035574";"50,346665";"2 Agricultural areas";;;
"N1L016";"N1020";"N1";"tyre";"0,05";"Chaussée de Namur";"Hamois";5360,00;"5,0640483970491";"50,3404118069542";"2 Agricultural areas";;;"Natoye, on silage"
"N1L017";"N1021";"N1";"water trough";"3";"Rue de Juplet";"Hamois";5360,00;"5,047483";"50,352522";"2 Agricultural areas";;;"Natoye, 3 water troughs"
"N1L018";"N1036";"N1";"tyre";"0,05";"Rue de Mière";"Assesse";5330,00;"4,9985009538961";"50,3649676625777";"3 Forest and semi-natural areas";;;"tyres next to field"
"N1L019";"N1005";"N1";"plastic sheet";"0,5";"Rue de la Cense de Vincon 3";"Ciney";5590,00;"5,032999";"50,331517";"3 Forest and semi-natural areas";;;"plastic on ground"
"N1L020";"N1034";"N1";"water trough";"4";"Rue du Bouchat";"Yvoir";5530,00;"5,00615";"50,315843";"3 Forest and semi-natural areas";;;"3 water troughs in front of football field"
"N1L021";"N1034";"N1";"water trough";"1";"Rue du Bouchat";"Yvoir";5530,00;"5,00034";"50,303924";"2 Agricultural areas";;;"towards Salazinnes"
"N1L022";"N1034";"N1";"tyre";"0,05";"Salazinnes";"Yvoir";5530,00;"4,994397";"50,301707";"2 Agricultural areas";;;"farm, tyres in grass and on silage"
"N1L023";"N1039";"N1";"water trough";"2";"Grognaux";"Dinant";5502,00;"4,985958";"50,270289";"3 Forest and semi-natural areas";;;
"N1L024";"N1034";"N1";"water trough";"2";"Rue Ferme du Mont";"Yvoir";5530,00;"4,978475";"50,311804";"2 Agricultural areas";;;"open tank"
"N1L025";"N1034";"N1";"mud puddle";"3";"Rue Ferme du Mont";"Yvoir";5530,00;"4,978475";"50,311804";"2 Agricultural areas";;;"mud next to water trough"
"N1L026";"N1039";"N1";"water trough";"1";"Route de Froidin 2";"Dinant";5501,00;"4,950025";"50,281399";"3 Forest and semi-natural areas";;;
"N1L027";"N1036";"N1";"plastic container";"1";"Rue de Mière";"Assesse";5330,00;"4,9985009538961";"50,3649676625777";"3 Forest and semi-natural areas";;;"next to N1L018"
"N1L028";"N1023";"N1";"water trough";"3";"Rue de la Gozée";"Hamois";5360,00;"5,048784";"50,34128";"3 Forest and semi-natural areas";;;"Natoye, in front of football field"
"N1L029";"N1024";"N1";"water trough";"2";"Rue des Comognes";"Assesse";5330,00;"5,041324";"50,363868";"2 Agricultural areas";;;
"N1L030";"N1005";"N1";"plant box";"0,1";"Rue de la Cense de Vincon 3";"Ciney";5590,00;"5,03139";"50,331272";"3 Forest and semi-natural areas";;;"Vincon, at entry, stone plant box"
"PEL001";"NA";"PE";"metal container";"0,5";"Mussepi 25";"Sint-Katelijne-Waver";2860,00;"4,507211631";"51,055363237";"2 Agricultural areas";;;
"PEL002";"NA";"PE";"drain channel";"0,05";"Mussepi 25";"Sint-Katelijne-Waver";2860,00;"4,507211631";"51,055363237";"2 Agricultural areas";;;
"PGL001";"NA";"PG";"drain channel";"0,05";"Langerbruggestraat 104";"Gent";9000,00;"3,751125935";"51,108753876";"1 Artificial surfaces";;;
"TRL001";"NA";"TR";"tyre";"0,1";"Rue Balasse 132";"La Louviere";7110,00;"4,141277";"50,472498";"3 Forest and semi-natural areas";;;"outside"
"TRL002";"NA";"TR";"tyre";"0,1";"Rue Balasse 132";"La Louviere";7110,00;"4,141277";"50,472498";"3 Forest and semi-natural areas";;;"inside"
"VPL001";"NA";"VP";"tyre";"0,1";"Rue de Waremme 128";"Villers Le Bouillet";4530,00;"5,259748";"50,585328";"2 Agricultural areas";;;
