id	type	language	license	rightsHolder	accessRights	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	recordedBy	sex	lifeStage	preparations	disposition	eventDate	year	month	day	countryCode	stateProvince	municipality	locality	verbatimCoordinates	verbatimLatitude	verbatimLongitude	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceRemarks	identifiedBy	scientificName	originalNameUsage	kingdom	genus	specificEpithet	nomenclaturalCode
RBINS:modirisk:collection:11	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:11	11	Maurice E. M. Goetghebuer	Female	Adult	Whole mount	in collection	13/5/1910	1910	5	13	BE	East Flanders	Gent		ES55A	195344.79320000112	106576.54039999844	51.06661661343593	3.7492658563690693	WGS84	centroid of respective UTM square given	Maurice E. M. Goetghebuer	Anopheles claviger	Anopheles claviger (Meigen, 1804)	Animalia	Anopheles	claviger	ICZN
RBINS:modirisk:collection:12	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:12	12	Maurice E. M. Goetghebuer	Female	Adult	Whole mount	in collection	13/5/1910	1910	5	13	BE	East Flanders	Gent		ES55A	195344.79320000112	106576.54039999844	51.06661661343593	3.7492658563690693	WGS84	centroid of respective UTM square given	Maurice E. M. Goetghebuer	Anopheles claviger	Anopheles claviger (Meigen, 1804)	Animalia	Anopheles	claviger	ICZN
RBINS:modirisk:collection:13	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:13	13	Maurice E. M. Goetghebuer	Male	Adult	Whole mount	in collection	13/5/1910	1910	5	13	BE	East Flanders	Gent		ES55A	195344.79320000112	106576.54039999844	51.06661661343593	3.7492658563690693	WGS84	centroid of respective UTM square given	Maurice E. M. Goetghebuer	Anopheles claviger	Anopheles claviger (Meigen, 1804)	Animalia	Anopheles	claviger	ICZN
RBINS:modirisk:collection:14	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:14	14	Maurice E. M. Goetghebuer	Female	Adult	Whole mount	in collection	18/9/1909	1909	9	18	BE	East Flanders	Gent	Sint-Amandsberg	ES55A	195344.79320000112	106576.54039999844	51.06661661343593	3.7492658563690693	WGS84	centroid of respective UTM square given	Maurice E. M. Goetghebuer	Anopheles claviger	Anopheles claviger (Meigen, 1804)	Animalia	Anopheles	claviger	ICZN
RBINS:modirisk:collection:15	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:15	15	E. Coucke	Female	Adult	Whole mount	in collection	20/8/1896	1896	8	20	BE	Brussels	Elsene	Ter Kameren	ES93D	169508.13789999858	151119.3395999968	50.83598850241617	4.384642333258973	WGS84	centroid of respective UTM square given	Maurice E. M. Goetghebuer	Anopheles claviger	Anopheles claviger (Meigen, 1804)	Animalia	Anopheles	claviger	ICZN
RBINS:modirisk:collection:16	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:16	16	André Léon Tonnoir	Male	Adult	Whole mount	in collection	29/7/1919	1919	7	29	BE	Luxemburg	Virton		FQ89A	32958.542199999094	233645.0284999981	49.60249215032507	5.525862698756433	WGS84	centroid of respective UTM square given	Maurice E. M. Goetghebuer	Anopheles claviger	Anopheles claviger (Meigen, 1804)	Animalia	Anopheles	claviger	ICZN
RBINS:modirisk:collection:17	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:17	17	André Léon Tonnoir	Male	Adult	Whole mount	in collection	30/7/1919	1919	7	30	BE	Luxemburg	Virton	Ethe, Laclaireau	FQ89B	32868.62269999832	238644.4311999977	49.600962091625235	5.5949906104220455	WGS84	centroid of respective UTM square given	Maurice E. M. Goetghebuer	Anopheles claviger	Anopheles claviger (Meigen, 1804)	Animalia	Anopheles	claviger	ICZN
RBINS:modirisk:collection:18	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:18	18	Maurice E. M. Goetghebuer	Female	Adult	Whole mount	in collection	30/9/1909	1909	9	30	BE	East Flanders	Gent	Sint-Amandsberg	ES55A	195344.79320000112	106576.54039999844	51.06661661343593	3.7492658563690693	WGS84	centroid of respective UTM square given	Maurice E. M. Goetghebuer	Anopheles claviger	Anopheles claviger (Meigen, 1804)	Animalia	Anopheles	claviger	ICZN
RBINS:modirisk:collection:19	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:19	19	Guilliaume Severin	Female	Adult	Whole mount	in collection	5/5/1922	1922	5	5	BE	Antwerp	Mol	Postel	FS58C	218484.7379	207051.83349999785	51.27340790203188	5.186294567506461	WGS84	centroid of respective UTM square given	Maurice E. M. Goetghebuer	Anopheles claviger	Anopheles claviger (Meigen, 1804)	Animalia	Anopheles	claviger	ICZN
RBINS:modirisk:collection:20	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:20	20	Paul de Moffarts	Female	Adult	Whole mount	in collection	11/1908	1908	11		BE	East Flanders	Gent		ES55A	195344.79320000112	106576.54039999844	51.06661661343593	3.7492658563690693	WGS84	centroid of respective UTM square given	Paul de Moffarts	Anopheles maculipennis	Anopheles maculipennis s.s. Meigen, 1818	Animalia	Anopheles	maculipennis	ICZN
RBINS:modirisk:collection:21	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:21	21	Guilliaume Severin	Female	Adult	Whole mount	in collection	11/6/1923	1923	6	11	BE	Antwerp	Mol	Postel	FS58C	218484.7379	207051.83349999785	51.27340790203188	5.186294567506461	WGS84	centroid of respective UTM square given	Maurice E. M. Goetghebuer	Anopheles maculipennis	Anopheles maculipennis s.s. Meigen, 1818	Animalia	Anopheles	maculipennis	ICZN
