TAG,Shape_Leng,Shape_Area
ES74D,20005.88786090000,25014721.82070000100
ES75A,20006.48168770000,25016206.94880000100
ES75B,20006.29532360000,25015740.78400000200
ES75C,20006.33332860000,25015836.02670000100
ES75D,20006.14713320000,25015369.98719999900
ES76A,20006.81603770000,25017042.79780000100
ES76B,20006.62923500000,25016575.83790000200
ES76C,20006.64266480000,25016609.51049999900
ES76D,20006.45622660000,25016142.77349999900
ES77A,16932.57166480000,12502752.03690000100
ES77B,19069.19616570000,23234929.43760000200
ES77C,20007.00172300000,25017507.46970000100
ES77D,20006.81495600000,25017039.98900000000
ES78D,8377.69603896000,2915701.97782000010
ES80A,20005.17324260000,25012934.68279999900
ES80B,20004.96387100000,25012411.61750000000
ES80C,20005.14889440000,25012873.59840000000
ES80D,20004.93979550000,25012351.01210000000
ES81A,20005.25906290000,25013149.18580000100
ES81B,20005.04934650000,25012624.95970000000
ES81C,20005.20990000000,25013026.55020000000
ES81D,20005.00045590000,25012502.59690000100
ES82A,20005.39411640000,25013487.10020000100
ES82B,20005.18405250000,25012961.92000000200
ES82C,20005.32033870000,25013302.71040000000
ES82D,20005.11054660000,25012778.09699999900
ES83A,20005.57869740000,25013948.88490000000
ES83B,20005.36819630000,25013422.28819999800
ES83C,20005.48020320000,25013702.48140000200
ES83D,20005.26976970000,25013176.65989999800
ES84A,20005.81290790000,25014534.28900000100
ES84B,20005.60187260000,25014006.93719999900
ES84C,20005.68959900000,25014225.91690000100
ES84D,20005.47892880000,25013699.09800000100
ES85A,20006.09645350000,25015243.86230000100
ES85B,20005.88528120000,25014715.16400000100
ES85C,20005.94852610000,25014873.23229999800
ES85D,20005.73751840000,25014345.65709999900
ES86A,20006.43002860000,25016077.76489999900
ES86B,20006.21832420000,25015548.02149999900
ES86C,20006.25718830000,25015645.21770000100
ES86D,20006.04554610000,25015116.44579999900
ES87A,20006.81313890000,25017036.05220000100
ES87B,20006.60129960000,25016505.77259999900
ES87C,20006.61548010000,25016541.33910000000
ES87D,20006.40360430000,25016011.67740000000
ES88A,8874.29791162000,3276298.16961999980
ES88B,19612.05342970000,23483982.83150000100
ES88C,18418.33514200000,20399693.33960000100
ES88D,20006.81140260000,25017031.49870000000
ES89C,2192.81413900000,145910.30635400000
ES89D,14020.56931830000,11067874.72340000000
ES90A,20004.74239230000,25011857.38439999900
ES90B,20004.50861010000,25011272.58659999800
ES90C,20004.71858960000,25011797.56360000000
ES90D,20004.48487650000,25011213.34840000000
ES91A,20004.82751940000,25012070.06230000000
ES91B,20004.59319270000,25011484.00389999900
ES91C,20004.77870100000,25011948.48330000000
ES91D,20004.54464640000,25011363.00690000100
ES92A,20004.96188910000,25012405.96150000000
ES92B,20004.72691710000,25011818.78929999800
ES92C,20004.88845120000,25012222.62150000000
ES92D,20004.65385270000,25011636.18160000100
ES93A,20005.14538860000,25012865.32999999800
ES93B,20004.91027800000,25012277.10379999900
ES93C,20005.04743310000,25012619.97670000000
ES93D,20004.81249530000,25012032.58210000000
ES94A,20005.37872720000,25013448.82420000100
ES94B,20005.14297730000,25012859.29650000100
ES94C,20005.25595210000,25013141.50860000000
ES94D,20005.02067260000,25012552.75690000100
ES95A,20005.66160300000,25014156.19960000000
ES95B,20005.42551320000,25013565.51890000000
ES95C,20005.51390650000,25013786.66820000100
ES95D,20005.27818830000,25013196.91570000000
ES96A,20005.99420490000,25014987.76529999800
ES96B,20005.75758750000,25014396.04060000200
ES96C,20005.82159810000,25014556.21530000100
ES96D,20005.58534430000,25013965.31250000000
ES97A,20006.37655160000,25015944.11840000000
ES97B,20006.13960030000,25015351.35850000000
ES97C,20006.17932520000,25015450.39750000100
ES97D,20005.94244260000,25014858.20780000100
ES98A,20006.80893380000,25017025.33020000200
ES98B,20006.57144990000,25016431.03099999900
ES98C,20006.58638970000,25016469.08360000000
ES98D,20006.34937380000,25015875.75400000100
ES99B,17357.81739800000,15758834.21280000000
ES99C,14841.03107910000,9066736.87034000080
ES99D,22781.20414040000,7548577.10489000010
ET90D,12215.45396510000,6608333.86483000030
FQ69B,9452.96238886000,3980801.55335999980
FQ78B,14051.33896620000,7427208.86182999980
FQ79A,14700.14306270000,6305135.79456999990
FQ79B,19558.84253950000,23918259.78139999900
FQ79D,18400.38436580000,15033398.26990000000
FQ88A,14982.95250810000,12430625.99819999900
FQ88B,14628.36880150000,6842884.58732999950
FQ89A,20001.06734880000,25002668.44660000100
FQ89B,20000.62140110000,25001553.32490000100
FQ89C,20001.31647950000,25003291.20890000100
FQ89D,19750.65655380000,24899254.56349999800
FQ99A,20000.16314570000,25000407.97120000000
FQ99B,19999.69298990000,24999232.57680000000
FQ99C,20917.47744380000,16342642.31920000000
FQ99D,19754.19019210000,17806318.85020000100
FR03A,20005.04738730000,25012619.86219999900
FR03B,19839.72233680000,24888795.58690000000
FR03C,13557.31193550000,8164431.57914999970
FR03D,12175.60274760000,5048445.65615999980
FR04A,20004.78876340000,25011973.34360000100
FR04B,20004.53327480000,25011334.27679999900
FR04C,20004.91181840000,25012281.25759999800
FR04D,20004.65660990000,25011642.98180000100
FR05A,20004.57887860000,25011448.31060000100
FR05B,20004.32273250000,25010807.99920000100
FR05C,20004.67751680000,25011695.35770000100
FR05D,20004.42165030000,25011055.54569999900
FR06A,20004.41762750000,25011045.19579999900
FR06B,20004.16113070000,25010403.90520000100
FR06C,20004.49195070000,25011231.53790000100
FR06D,20004.23582720000,25010590.58949999900
FR07A,20004.30511920000,25010764.25649999800
FR07B,20004.04826560000,25010121.69190000000
FR07C,20004.35532010000,25010889.48200000100
FR07D,20004.09874460000,25010247.30970000100
FR08A,20004.24194650000,25010605.89090000100
FR08B,20003.98444280000,25009962.09930000100
FR08C,20004.26753050000,25010669.86070000000
FR08D,20004.01019890000,25010026.40610000100
FR09A,20004.22771310000,25010570.09800000100
FR09B,20003.96985880000,25009925.33370000100
FR09C,20004.22867280000,25010572.70149999900
FR09D,20003.97079740000,25009928.38080000100
FR13A,17626.27247200000,14425508.30240000000
FR13B,12689.85754870000,5954495.90744999980
FR14A,20004.26538160000,25010664.48910000200
FR14B,20003.98528010000,25009964.59290000100
FR14C,20004.38909510000,25010973.64539999900
FR14D,20004.10937590000,25010274.69139999900
FR15A,20004.05447980000,25010137.12680000100
FR15B,20003.77402210000,25009435.84910000100
FR15C,20004.15377520000,25010385.61459999900
FR15D,20003.87369550000,25009684.98389999900
FR16A,20003.89232330000,25009731.75330000000
FR16B,20003.61131090000,25009029.39409999900
FR16C,20003.96729880000,25009919.13080000100
FR16D,20003.68656180000,25009217.25030000100
FR17A,20003.77900680000,25009448.60949999800
FR17B,20003.49764090000,25008744.86870000100
FR17C,20003.82956050000,25009574.91780000200
FR17D,20003.54827300000,25008871.76210000000
FR18A,20003.71463210000,25009287.44440000100
FR18B,20003.43261600000,25008582.48009999800
FR18C,20003.74066580000,25009352.53720000000
FR18D,20003.45912370000,25008648.15529999900
FR19A,20003.69940290000,25009249.45890000100
FR19B,20003.41683620000,25008542.82389999900
FR19C,20003.70101480000,25009253.18560000100
FR19D,20003.41872140000,25008547.53020000100
FR23A,3608.76521363000,580137.21755099995
FR23B,10305.67281750000,4605815.81298999950
FR24A,14866.52666060000,5011961.59179000000
FR24C,13042.47601760000,4841484.27895000020
FR25A,20003.48135970000,25008704.25660000000
FR25B,18065.92270180000,18650068.18479999900
FR25C,18716.82929590000,19956281.92700000100
FR25D,6837.52673595000,1242226.78698999990
FR26A,20003.31828970000,25008296.21249999900
FR26B,20003.01276540000,25007532.68079999800
FR26C,20003.39381980000,25008484.96750000100
FR26D,20003.08867290000,25007722.17289999900
FR27A,20003.20366990000,25008010.11809999900
FR27B,20002.89789000000,25007245.04809999800
FR27C,20003.25497310000,25008138.19669999900
FR27D,20002.94927170000,25007373.82110000000
FR28A,20003.13839100000,25007846.79870000100
FR28B,20002.83196440000,25007080.30680000000
FR28C,20003.16507460000,25007913.41270000100
FR28D,20002.85882030000,25007147.66149999900
FR29A,20003.12206420000,25007805.66970000000
FR29B,20002.81498510000,25007038.15969999900
FR29C,20003.12422640000,25007811.07220000000
FR29D,20002.81741690000,25007043.94009999900
FR31A,8867.65719479000,2978883.75288000000
FR31B,16499.70292960000,15412112.91840000100
FR32A,12841.10201570000,3228526.99486000000
FR32B,20709.57069960000,24620275.11670000100
FR32C,13718.27366300000,5452158.84066999980
FR32D,20003.49101710000,25008728.10269999900
FR33A,19903.55889110000,24764815.37009999900
FR33B,20003.00635710000,25007516.45760000100
FR33C,14312.78200090000,6167893.63384999990
FR33D,19768.74500750000,24548122.10130000100
FR34A,19805.42804820000,18612589.59070000100
FR34B,20002.74401380000,25006860.80860000100
FR34C,19314.69876610000,21582403.03889999900
FR34D,20002.86913090000,25007173.43990000000
FR35A,19271.74943030000,13624803.55309999900
FR35B,20815.35996590000,24672657.27149999900
FR35C,20054.57627040000,7667133.30233999990
FR35D,20002.63121290000,25006578.26500000100
FR36A,20002.69533050000,25006738.78029999900
FR36B,20002.36538880000,25005914.02530000000
FR36C,20002.77121550000,25006928.71880000100
FR36D,20002.44175320000,25006105.05200000100
FR37A,20002.57990130000,25006449.87090000100
FR37B,20002.24940920000,25005623.83549999800
