"type","language","license","eventID","rightsHolder","accessRights","institutionCode","datasetName","ownerInstitutionCode","basisOfREcord","countryCode","Municipality","kingdom","nomenclaturalCode","locality","parentEventID","eventDate"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Natoye:NT2:8","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Natoye","Animalia","ICZN","NT2","Natoye:NT2","24/08/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Natoye:NT2:9","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Natoye","Animalia","ICZN","NT2","Natoye:NT2","7/09/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Natoye:Nt2:7","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Natoye","Animalia","ICZN","NT2","Natoye:NT2","10/08/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:1:1","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU1","Ruiselede:R1","4/05/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:1:10","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU1","Ruiselede:R1","7/09/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:1:11","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU1","Ruiselede:R1","21/09/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:1:12","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU1","Ruiselede:R1","5/10/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:1:2","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU1","Ruiselede:R1","18/05/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:1:3","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU1","Ruiselede:R1","1/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:1:4","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU1","Ruiselede:R1","15/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:1:5","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU1","Ruiselede:R1","29/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:1:6","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU1","Ruiselede:R1","13/07/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:1:7","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU1","Ruiselede:R1","27/07/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:1:8","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU1","Ruiselede:R1","10/08/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:1:9","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU1","Ruiselede:R1","24/08/2009"
