X,Y,TAG,POINT_X,POINT_Y
135011.34220000356,109780.36,ER87C,135011.34220000001,109780.36000000000
140011.78679999709,109688.44660000131,ER87D,140011.78680000000,109688.44660000000
135287.33309999853,124781.71930000186,ER88A,135287.33309999999,124781.71930000000
140287.74689999968,124689.65029999986,ER88B,140287.74690000000,124689.65029999999
135195.28570000082,119781.27589999884,ER88C,135195.28570000001,119781.27589999999
140195.70679999888,119689.2588,ER88D,140195.70680000001,119689.25880000000
135471.57919999957,134782.59250000119,ER89A,135471.57920000001,134782.59250000000
140471.98799999803,134690.41930000111,ER89B,140471.98800000001,134690.41930000001
135379.43079999834,129782.15720000118,ER89C,135379.43080000000,129782.15720000000
140379.84070000052,129690.03610000014,ER89D,140379.84070000000,129690.03610000000
144370.30820000172,74593.457800000906,ER93A,144370.30820000000,74593.45780000000
149370.82310000062,74501.976300001144,ER93B,149370.82310000001,74501.97630000000
149279.38830000162,69501.471000000834,ER93D,149279.38829999999,69501.47100000001
144553.42040000111,84594.476500000805,ER94A,144553.42040000000,84594.47650000000
149553.86860000342,84502.88069999963,ER94B,149553.86859999999,84502.88069999999
144461.83649999648,79593.983800001442,ER94C,144461.83650000000,79593.98380000000
149462.31650000066,79502.445199999958,ER94D,149462.31649999999,79502.44520000000
144736.7555000037,94595.374499998987,ER95A,144736.75550000000,94595.37450000001
149737.14930000156,94503.663899999112,ER95B,149737.14929999999,94503.66390000000
144645.05990000069,89594.939100001007,ER95C,144645.05989999999,89594.93910000000
149645.47950000316,89503.285900000483,ER95D,149645.47949999999,89503.28590000000
144920.31440000236,104596.17599999905,ER96A,144920.31440000000,104596.17600000001
149920.66600000113,104504.35009999946,ER96B,149920.66600000000,104504.35010000000
144828.50689999759,99595.785700000823,ER96C,144828.50690000001,99595.78569999999
149828.87810000032,99504.017599999905,ER96D,149828.87810000000,99504.01760000001
145104.09809999913,114596.90529999882,ER97A,145104.09810000000,114596.90530000000
150104.41960000247,114504.96389999986,ER97B,150104.41959999999,114504.96390000000
145012.17809999734,109596.54809999838,ER97C,145012.17809999999,109596.54810000000
150012.51309999824,109504.66459999979,ER97D,150012.51310000001,109504.66460000000
145288.1072999984,124597.58709999919,ER98A,145288.10730000000,124597.58710000000
150288.41110000014,124505.52959999815,ER98B,150288.41110000000,124505.52959999999
145196.07440000027,119597.25059999898,ER98C,145196.07440000001,119597.25060000000
150196.38560000062,119505.25129999965,ER98D,150196.38560000001,119505.25130000000
145472.34300000221,134598.24570000172,ER99A,145472.34299999999,134598.24570000000
150472.64119999856,134506.07169999927,ER99B,150472.64120000001,134506.07170000000
145380.19680000097,129597.91770000011,ER99C,145380.19680000001,129597.91770000001
150380.49620000273,129505.80209999904,ER99D,150380.49619999999,129505.80210000000
56013.182700000703,166262.48649999872,ES02A,56013.18270000000,166262.48650000000
61014.100400000811,166170.3134999983,ES02B,61014.10040000000,166170.31349999999
55921.02009999752,161261.57649999857,ES02C,55921.02010000000,161261.57650000000
60921.91899999976,161169.40689999983,ES02D,60921.91900000000,161169.40690000000
56197.513800002635,176264.37040000036,ES03A,56197.51380000000,176264.37040000001
61198.478299997747,176172.19049999863,ES03B,61198.47830000000,176172.19050000000
56105.347300000489,171263.41670000181,ES03C,56105.34730000000,171263.41670000000
61106.286799997091,171171.24029999971,ES03D,61106.28680000000,171171.24030000000
56381.852899998426,186266.36059999838,ES04A,56381.85290000000,186266.36060000001
61382.876699998975,186174.17350000143,ES04B,61382.87670000000,186174.17350000000
56289.682300001383,181265.35069999844,ES04C,56289.68230000000,181265.35070000001
61290.674900002778,181173.16719999909,ES04D,61290.67490000000,181173.16720000000
56566.200499996543,196268.48180000111,ES05A,56566.20050000000,196268.48180000001
61567.295800000429,196176.28720000014,ES05B,61567.29580000000,196176.28719999999
56474.025600001216,191267.40329999849,ES05C,56474.02560000000,191267.40330000001
61475.083599999547,191175.21240000054,ES05D,61475.08360000000,191175.21239999999
56750.55699999631,206270.7588,ES06A,56750.55700000000,206270.75880000001
61751.736400000751,206178.55640000105,ES06B,61751.73640000000,206178.55640000000
56658.377599999309,201269.59919999912,ES06C,56658.37760000000,201269.59920000000
61659.513400003314,201177.40080000088,ES06D,61659.51340000000,201177.40080000000
56934.922899998724,216273.21649999917,ES07A,56934.92290000000,216273.21650000001
61936.198899999261,216181.00620000064,ES07B,61936.19890000000,216181.00620000000
56842.738799996674,211271.96350000054,ES07C,56842.73880000000,211271.96350000001
61843.964900001884,211179.75719999894,ES07D,61843.96490000000,211179.75719999999
62120.683799996972,226183.6614000015,ES08B,62120.68380000000,226183.66140000001
57027.109600000083,221274.52089999989,ES08C,57027.10960000000,221274.52090000000
62028.438500002027,221182.30660000071,ES08D,62028.43850000000,221182.30660000001
70647.10869999975,145982.43490000069,ES10B,70647.10870000000,145982.43489999999
70554.933899998665,140981.59420000017,ES10D,70554.93390000000,140981.59419999999
65830.620800003409,156076.33720000088,ES11A,65830.62080000000,156076.33720000001
70831.491200000048,155984.14279999956,ES11B,70831.49120000000,155984.14280000000
70739.294500000775,150983.28339999914,ES11D,70739.29450000000,150983.28339999999
66015.013099998236,166078.1202000007,ES12A,66015.01310000000,166078.12020000000
71015.9178000018,165985.90659999847,ES12B,71015.91780000000,165985.90659999999
65922.812899999321,161077.22019999847,ES12C,65922.81290000000,161077.22020000001
70923.698899999261,160985.01619999856,ES12D,70923.69890000000,160985.01620000001
66199.437700003386,176079.9840000011,ES13A,66199.43770000000,176079.98400000000
71200.388899996877,175987.7511,ES13B,71200.38890000001,175987.75109999999
66107.221400000155,171079.04050000012,ES13C,66107.22140000000,171079.04050000000
71108.147699996829,170986.817299999,ES13D,71108.14770000000,170986.81730000000
66383.895199999213,186081.95360000059,ES14A,66383.89520000000,186081.95360000001
71384.90529999882,185989.70109999925,ES14B,71384.90530000000,185989.70110000001
66291.662299998105,181080.954,ES14C,66291.66230000000,181080.95400000000
71292.641500003636,180988.71139999852,ES14D,71292.64150000000,180988.71140000000
66568.385899998248,196084.05359999835,ES15A,66568.38589999999,196084.05360000001
71569.467399999499,195991.78119999915,ES15B,71569.46739999999,195991.78120000000
66476.136299997568,191082.9857,ES15C,66476.13630000000,191082.98569999999
71477.180600002408,190990.72329999879,ES15D,71477.18060000001,190990.72330000001
66752.910400003195,206086.30900000036,ES16A,66752.91039999999,206086.30900000001
71754.075800001621,205994.01639999822,ES16B,71754.07580000001,205994.01639999999
66660.643899999559,201085.1603000015,ES16C,66660.64390000000,201085.16029999999
71661.765799999237,200992.87790000066,ES16D,71661.76579999999,200992.87789999999
66937.46930000186,216088.7445,ES17A,66937.46930000000,216088.74450000000
71938.73099999875,215996.43149999902,ES17B,71938.73100000000,215996.43150000001
66845.185500003397,211087.502700001,ES17C,66845.18550000001,211087.50270000001
71846.397500000894,210995.19990000129,ES17D,71846.39750000001,210995.19990000001
67122.063100002706,226091.38529999927,ES18A,67122.06310000000,226091.38529999999
72123.433499999344,225999.05160000175,ES18B,72123.43350000000,225999.05160000001
67029.761799998581,221090.03770000115,ES18C,67029.76179999999,221090.03769999999
72031.076300002635,220997.71440000087,ES18D,72031.07630000000,220997.71440000000
67214.373199999332,231092.79039999843,ES19C,67214.37320000000,231092.79040000000
72215.802699998021,231000.4463,ES19D,72215.80270000000,231000.44630000001
75647.946400001645,145890.25149999931,ES20A,75647.94640000000,145890.25150000001
80648.770000003278,145798.0603,ES20B,80648.77000000000,145798.06030000001
75555.765199996531,140889.4232,ES20C,75555.76519999999,140889.42319999999
80556.582699999213,140797.24749999866,ES20D,80556.58270000000,140797.24750000000
75832.350599996746,155891.93439999968,ES21A,75832.35060000001,155891.93440000000
80833.195900000632,155799.71200000122,ES21B,80833.19590000001,155799.71200000000
75740.141500003636,150891.08749999851,ES21C,75740.14150000000,150891.08749999999
80740.974399998784,150798.88080000132,ES21D,80740.97440000001,150798.88080000001
76016.811200000346,165893.67289999872,ES22A,76016.81120000000,165893.67290000001
81017.690399996936,165801.41919999942,ES22B,81017.69040000001,165801.41920000000
75924.573799997568,160892.79520000145,ES22C,75924.57380000000,160892.79519999999
80925.434500001371,160800.55710000172,ES22D,80925.43450000000,160800.55710000001
76201.328900001943,175895.49190000072,ES23A,76201.32889999999,175895.49189999999
81202.254399999976,175803.20639999956,ES23B,81202.25440000001,175803.20640000000
76109.062899999321,170894.57079999894,ES23C,76109.06290000000,170894.57079999999
81109.963699996471,170802.30119999871,ES23D,81109.96369999999,170802.30119999999
76385.904100000858,185897.416099999,ES24A,76385.90410000000,185897.41610000000
81386.888300001621,185805.09849999845,ES24B,81386.88830000001,185805.09849999999
76293.609200000763,180896.43930000067,ES24C,76293.60920000001,180896.43930000000
81294.562600001693,180804.13780000061,ES24D,81294.56260000001,180804.13780000000
76570.537399999797,195899.4701000005,ES25A,76570.53740000000,195899.47010000001
81571.592699997127,195807.1202000007,ES25B,81571.59269999999,195807.12020000000
76478.213399998844,190898.42529999837,ES25C,76478.21339999999,190898.42530000000
81479.231700003147,190806.09160000086,ES25D,81479.23170000000,190806.09160000001
76755.229500003159,205901.67889999971,ES26A,76755.22950000000,205901.67890000000
81756.368299998343,205809.29639999941,ES26B,81756.36830000000,205809.29639999999
76662.876100003719,200900.55359999835,ES26C,76662.87609999999,200900.55360000001
81663.971600003541,200808.1875,ES26D,81663.97160000000,200808.18750000000
76939.980800002813,215904.06740000099,ES27A,76939.98080000001,215904.06740000000
81941.215700000525,215811.65210000053,ES27B,81941.21570000000,215811.65210000001
76847.597699999809,210902.84910000116,ES27C,76847.59770000000,210902.84909999999
81848.78299999982,210810.45030000061,ES27D,81848.78300000000,210810.45030000000
77124.792000003159,225906.66050000116,ES28A,77124.79200000000,225906.66050000000
82126.135300002992,225814.21200000122,ES28B,82126.13529999999,225814.21200000000
77032.378899998963,220905.33680000156,ES28C,77032.37890000000,220905.33679999999
82033.666400000453,220812.9049,ES28D,82033.66640000000,220812.90489999999
77217.220200002193,230908.04160000011,ES29C,77217.22020000000,230908.04160000000
82218.622400000691,230815.5764000006,ES29D,82218.62239999999,230815.57639999999
85649.576700001955,145705.86149999872,ES30A,85649.57670000001,145705.86150000000
90650.363200001419,145613.65500000119,ES30B,90650.36320000001,145613.65500000000
85557.383299998939,140705.06720000133,ES30C,85557.38330000000,140705.06719999999
90558.163699999452,140612.88239999861,ES30D,90558.16370000001,140612.88240000000
85834.023900002241,155707.47590000182,ES31A,85834.02390000000,155707.47589999999
90834.831799998879,155615.22590000182,ES31B,90834.83180000000,155615.22589999999
85741.790200002491,150706.66340000182,ES31C,85741.79020000000,150706.66339999999
90742.585799999535,150614.43510000035,ES31D,90742.58580000000,150614.43510000000
86018.552299998701,165709.14539999887,ES32A,86018.55230000000,165709.14540000001
91019.393799997866,165616.85170000046,ES32B,91019.39380000001,165616.85170000000
85926.27799999714,160708.30220000073,ES32C,85926.27800000001,160708.30220000001
90927.101000003517,160616.03040000051,ES32D,90927.10100000000,160616.03039999999
86203.162399999797,175710.8946999982,ES33A,86203.16240000000,175710.89470000000
91204.049900002778,175618.55689999834,ES33B,91204.04990000000,175618.55690000000
86110.847099997103,170710.0084999986,ES33C,86110.84710000000,170710.00850000000
91111.710000000894,170617.69280000031,ES33D,91111.71000000001,170617.69279999999
86387.85490000248,185712.74850000069,ES34A,86387.85490000001,185712.74849999999
91388.800700001419,185620.36630000174,ES34B,91388.80070000001,185620.36629999999
86295.498300001025,180711.807,ES34C,86295.49830000001,180711.80700000000
91296.413400001824,180619.44700000063,ES34D,91296.41340000001,180619.44699999999
86572.63030000031,195714.73180000111,ES35A,86572.63030000000,195714.73180000001
91573.64699999988,195622.30469999835,ES35B,91573.64700000000,195622.30470000001
86480.23219999671,190713.72239999846,ES35C,86480.23220000000,190713.72240000000
91481.211900003254,190621.31780000031,ES35D,91481.21190000000,190621.31779999999
86757.489299997687,205716.86910000071,ES36A,86757.48930000000,205716.86910000001
91758.589100003242,205624.39710000157,ES36B,91758.58910000000,205624.39710000000
86665.049300000072,200715.77959999815,ES36C,86665.04930000000,200715.77960000001
91666.10599999875,200623.3301,ES36D,91666.10600000000,200623.33009999999
86942.432400003076,215719.18560000136,ES37A,86942.43240000001,215719.18560000000
91943.62799999863,215626.66820000112,ES37B,91943.62800000000,215626.66819999999
86849.950300000608,210718.00340000167,ES37C,86849.95030000000,210718.00339999999
91851.096500001848,210625.50869999826,ES37D,91851.09650000000,210625.50870000001
92036.183899998665,220627.87849999964,ES38D,92036.18390000000,220627.87849999999
95651.12650000304,145521.44099999964,ES40A,95651.12650000000,145521.44099999999
100651.86349999905,145429.21950000152,ES40B,100651.86350000001,145429.21950000001
95558.921099998057,140520.69310000166,ES40C,95558.92110000001,140520.69310000000
100559.6521999985,140428.49940000102,ES40D,100559.65220000000,140428.49940000000
95835.616200000048,155522.96229999885,ES41A,95835.61620000000,155522.96230000001
100836.37420000136,155430.68499999866,ES41B,100836.37420000001,155430.68500000000
95743.358099997044,150522.19640000165,ES41C,95743.35810000000,150522.19639999999
100744.10409999639,150429.94700000063,ES41D,100744.10410000000,150429.94699999999
96020.211699999869,165524.53799999878,ES42A,96020.21170000000,165524.53800000000
101021.00299999863,165432.20459999889,ES42B,101021.00300000000,165432.20460000000
95927.900700002909,160523.74179999903,ES42C,95927.90070000000,160523.74179999999
100928.67379999906,160431.4365000017,ES42D,100928.67380000000,160431.43650000001
96204.913699999452,175526.19289999828,ES43A,96204.91370000001,175526.19289999999
101205.75069999695,175433.80310000107,ES43B,101205.75070000000,175433.80309999999
96112.549300000072,170525.35399999842,ES43C,96112.54930000000,170525.35399999999
101113.36200000346,170432.99240000173,ES43D,101113.36199999999,170432.99239999999
96389.722699999809,185527.95169999823,ES44A,96389.72270000000,185527.95170000001
101390.61779999733,185435.50499999896,ES44B,101390.61780000001,185435.50500000000
96297.304799996316,180527.05779999867,ES44C,96297.30480000000,180527.05780000001
101298.16929999739,180434.63949999958,ES44D,101298.16929999999,180434.63949999999
96574.639600001276,195529.83929999918,ES45A,96574.63960000000,195529.83929999999
101575.60509999841,195437.33540000021,ES45B,101575.60510000000,195437.33540000001
96482.167700000107,190528.87790000066,ES45C,96482.16770000001,190528.87789999999
101483.09640000015,190436.40260000154,ES45D,101483.09639999999,190436.40260000000
96759.664899997413,205531.88030000031,ES46A,96759.66490000000,205531.88029999999
101760.71329999715,205439.31899999827,ES46B,101760.71330000000,205439.31899999999
96667.138599999249,200530.83900000155,ES46C,96667.13860000001,200530.83900000001
101668.14400000125,200438.30649999902,ES46D,101668.14400000000,200438.30650000001
96944.799300000072,215534.0999,ES47A,96944.79930000000,215534.09990000000
101945.94309999794,215441.48059999943,ES47B,101945.94310000000,215441.48060000001
96852.218400001526,210532.96620000154,ES47C,96852.21840000000,210532.96620000000
101853.31289999932,210440.3759999983,ES47D,101853.31290000000,210440.37599999999
97037.407600000501,220535.28429999948,ES48C,97037.40760000001,220535.28430000000
102038.60369999707,220442.636,ES48D,102038.60370000001,220442.63600000000
105652.57109999657,145336.99069999903,ES50A,105652.57110000000,145336.99069999999
110653.24629999697,145244.75459999964,ES50B,110653.24630000000,145244.75459999999
105560.35409999639,140336.30139999837,ES50C,105560.35410000000,140336.30140000000
110561.02359999716,140244.09919999912,ES50D,110561.02360000000,140244.09920000000
105837.10270000249,155338.39420000091,ES51A,105837.10270000000,155338.39420000001
110837.79850000143,155246.09,ES51B,110837.79850000000,155246.09000000000
105744.820600003,150337.68719999865,ES51C,105744.82060000001,150337.68719999999
110745.50460000336,150245.41710000113,ES51D,110745.50460000000,150245.41709999999
106021.76460000128,165339.8515000008,ES52A,106021.76459999999,165339.85149999999
111022.4934,165247.47870000079,ES52B,111022.49340000001,165247.47870000001
105929.41730000079,160339.11459999904,ES52C,105929.41730000000,160339.11460000000
110930.12810000032,160246.7760999985,ES52D,110930.12810000000,160246.77609999999
106206.5578000024,175341.38720000163,ES53A,106206.55780000000,175341.38720000000
111207.33190000057,175248.94559999928,ES53B,111207.33190000000,175248.94560000001
106114.14479999989,170340.60799999908,ES53C,106114.14479999999,170340.60800000001
111114.8946999982,170248.20089999959,ES53D,111114.89470000000,170248.20090000000
106391.48279999942,185343.0262000002,ES54A,106391.48280000000,185343.02619999999
111392.3147,185250.51550000161,ES54B,111392.31470000000,185250.51550000001
106299.00379999727,180342.192299999,ES54C,106299.00380000001,180342.19230000000
111299.80520000309,180249.71609999985,ES54D,111299.80520000000,180249.71609999999
106576.54039999843,195344.79320000112,ES55A,106576.54040000000,195344.79319999999
111577.44240000099,195252.21279999986,ES55B,111577.44240000000,195252.21280000001
106483.99499999732,190343.89220000058,ES55C,106483.99500000000,190343.89220000000
111484.86039999872,190251.34659999982,ES55D,111484.86040000001,190251.34659999999
106761.73129999638,205346.71299999952,ES56A,106761.73130000000,205346.71299999999
111762.71589999646,205254.06269999966,ES56B,111762.71590000000,205254.06270000001
106669.11919999868,200345.73250000179,ES56C,106669.11920000000,200345.73250000001
111670.06090000272,200253.11719999835,ES56D,111670.06090000000,200253.11720000001
106947.05629999936,215348.81069999933,ES57A,106947.05630000000,215348.81070000000
111948.13579999655,215256.09,ES57B,111948.13580000000,215256.09000000000
106854.3769999966,210347.73809999973,ES57C,106854.37699999999,210347.73809999999
111855.40749999881,210255.05270000175,ES57D,111855.40750000000,210255.05270000000
107039.76929999888,220349.93389999866,ES58C,107039.76930000000,220349.93390000000
115653.886,145152.51130000129,ES60A,115653.88600000000,145152.51130000001
120654.4870999977,145060.26089999825,ES60B,120654.48710000000,145060.26089999999
115561.65770000219,140151.89290000126,ES60C,115561.65770000000,140151.89290000001
120562.25330000371,140059.68259999901,ES60D,120562.25330000000,140059.68260000000
115838.45859999955,155153.77230000123,ES61A,115838.45860000000,155153.77230000001
120839.0801,155061.44150000066,ES61B,120839.08010000001,155061.44149999999
115746.15299999714,150153.13670000061,ES61C,115746.15300000001,150153.13670000000
