Subcollectie;scientificName;eventData;municipality;locality;Utm5km;recordedBy;identifiedBy;sex;lifestage;preparations;Veld12;catalogNumber;;Provincie
Algemeen;Coquillettidia richiardii (Ficalbi, 1889);11/7/1922;Mol;Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-5-Culi-6;32;;AN
Algemeen;Coquillettidia richiardii (Ficalbi, 1889);11/8/1922;Mol;Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-5-Culi-6;33;;AN
Algemeen;Coquillettidia richiardii (Ficalbi, 1889);12/8/1919;Anderlecht;Neerpede;ES93C;André Léon Tonnoir;F. W. Edwards;Female;Adult;Whole mount;3C-5-Culi-6;34;;BR
Algemeen;Coquillettidia richiardii (Ficalbi, 1889);20/7/1917;Rixensart;Genval;FS02D;André Léon Tonnoir;F. W. Edwards;Female;Adult;Whole mount;3C-5-Culi-6;35;;BW
Algemeen;Coquillettidia richiardii (Ficalbi, 1889);7/1922;Mol;Abdij van Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-5-Culi-6;36;;AN
Algemeen;Coquillettidia richiardii (Ficalbi, 1889);7/1922;Mol;Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-5-Culi-6;37;;AN
Algemeen;Coquillettidia richiardii (Ficalbi, 1889);7/1922;Mol;Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-5-Culi-6;38;;AN
Algemeen;Coquillettidia richiardii (Ficalbi, 1889);8/7/1918;Anderlecht;;ES93C;André Léon Tonnoir;F. W. Edwards;Female;Adult;Whole mount;3C-5-Culi-6;39;;BR
Algemeen;Culex pipiens Linnaeus, 1758;1/10/1967;Liège;;FS81C;F. Delhez;L. Allaer;Female;Adult;Whole mount;3C-8-Culi-6;40;;LG
Algemeen;Culex pipiens Linnaeus, 1758;1/4/1892;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;41;;BR
Algemeen;Culex pipiens Linnaeus, 1758;1/5/1895;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;42;;BR
Algemeen;Culex pipiens Linnaeus, 1758;1/5/1895;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;43;;BR
Algemeen;Culex pipiens Linnaeus, 1758;10/11/1917;Ukkel;;ES92B;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;44;;BR
Algemeen;Culex pipiens Linnaeus, 1758;10/1908;Gent;;ES55A;Paul de Moffarts;Paul de Moffarts;Female;Adult;Whole mount;3C-8-Culi-6;45;;OV
Algemeen;Culex pipiens Linnaeus, 1758;10/1944;Watermael-Boitsfort; Boitsfort;ES92B;Georges Marlier;A. Collart;Female;Adult;Whole mount;3C-8-Culi-6;46;;BR
Algemeen;Culex pipiens Linnaeus, 1758;10/3/1896;Oudergem;;FS03C;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;47;;BR
Algemeen;Culex pipiens Linnaeus, 1758;10/6/1895;Oudergem;Ter Kameren;FS03C;E. Coucke;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;48;;BR
Algemeen;Culex pipiens Linnaeus, 1758;10/6/1918; ;Forêt de Soignes;ES92D;André Léon Tonnoir;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;49;;
Algemeen;Culex pipiens Linnaeus, 1758;10/7/1894;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;50;;BR
Algemeen;Culex pipiens Linnaeus, 1758;10/8/1892; ;Hertogenwald;KB90A;E. Coucke;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;51;;
Algemeen;Culex pipiens Linnaeus, 1758;10/8/1892; ;Hertogenwald;KB90A;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-7-Culi-6;52;;
Algemeen;Culex pipiens Linnaeus, 1758;10/9/1893;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;53;;BR
Algemeen;Culex pipiens Linnaeus, 1758;11/1908;Gent;;ES55A;Paul de Moffarts;Paul de Moffarts;Female;Adult;Whole mount;3C-8-Culi-6;54;;OV
Algemeen;Culex pipiens Linnaeus, 1758;11/7/1917;Rixensart;Genval;FS02D;André Léon Tonnoir;André Léon Tonnoir;Female;Adult;Whole mount;3C-8-Culi-6;55;;BW
Algemeen;Culex pipiens Linnaeus, 1758;12/11/1913;Brussel;;ES93D;;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;56;;BR
Algemeen;Culex pipiens Linnaeus, 1758;12/4/1894;Evegnée;;FS91C;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;57;;LG
Algemeen;Culex pipiens Linnaeus, 1758;12/6/1918;Melsbroek;;FS04C;André Léon Tonnoir;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;58;;VB
Algemeen;Culex pipiens Linnaeus, 1758;12/8/1895;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;59;;BR
Algemeen;Culex pipiens Linnaeus, 1758;13/10/1911;Francorchamps;;GR19C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-7-Culi-6;60;;LG
Algemeen;Culex pipiens Linnaeus, 1758;13/10/1911;Francorchamps;;GR19C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;61;;LG
Algemeen;Culex pipiens Linnaeus, 1758;13/10/1936;Antwerpen;;ES97D;/ Brandligt;A. Collart;Male;Adult;Whole mount;3C-7-Culi-6;62;;AN
Algemeen;Culex pipiens Linnaeus, 1758;13/10/1936;Antwerpen;;ES97D;/ Brandligt;A. Collart;Female;Adult;Whole mount;3C-7-Culi-6;63;;AN
