"Sampling Code";"Subsite Code";"Site Code";"Breeding site Code";"Larval Habitat Type";"Sampling Date";"Water Depth (cm)";"Presence Mosquitoes";"Presence exotic Mosq";"Comments"
"N1L012Ju1";"N1014";"N1";"N1L012";"tyre";2012/6/5 0:00:00;15,00;1;0;"Culex spp collected by Francis"
"N1L012Ju2";"N1014";"N1";"N1L012";"tyre";2012/6/26 0:00:00;15,00;0;0;
"N1L012Jul";"N1014";"N1";"N1L012";"tyre";2012/7/27 0:00:00;15,00;0;0;
"N1L013Apr";"N1017";"N1";"N1L013";"tyre";2012/4/27 0:00:00;15,00;0;0;"Daphnia"
"N1L013Jun";"N1017";"N1";"N1L013";"tyre";2012/6/5 0:00:00;15,00;1;0;"Culex spp collected by Francis"
"N1L014Jun";"N1018";"N1";"N1L014";"tyre";2012/6/5 0:00:00;10,00;1;0;
"N1L015Jun";"N1019";"N1";"N1L015";"tyre";2012/6/5 0:00:00;10,00;1;0;
"N1L016Jun";"N1020";"N1";"N1L016";"tyre";2012/6/5 0:00:00;10,00;1;0;
"N1L017Jun";"N1021";"N1";"N1L017";"water trough";2012/6/5 0:00:00;50,00;0;0;"Hydrophilidae"
"N1L018Aug";"N1036";"N1";"N1L018";"tyre";2012/8/31 0:00:00;15,00;1;0;
"N1L018Jun";"N1036";"N1";"N1L018";"tyre";2012/6/26 0:00:00;15,00;1;0;
"N1L018Oct";"N1036";"N1";"N1L018";"tyre";2012/10/26 0:00:00;5,00;1;0;
"N1L018Sep";"N1036";"N1";"N1L018";"tyre";2012/9/28 0:00:00;15,00;1;0;
"N1L019Aug";"N1005";"N1";"N1L019";"plastic sheet";2012/8/24 0:00:00;6,00;1;0;
"N1L019Jul";"N1005";"N1";"N1L019";"plastic sheet";2012/7/27 0:00:00;5,00;1;0;
"N1L019Oct";"N1005";"N1";"N1L019";"plastic sheet";2012/10/19 0:00:00;5,00;1;0;
"N1L019Sep";"N1005";"N1";"N1L019";"plastic sheet";2012/9/20 0:00:00;5,00;1;0;
"N1L020Aug";"N1034";"N1";"N1L020";"water trough";2012/8/24 0:00:00;70,00;1;0;
"N1L020Jul";"N1034";"N1";"N1L020";"water trough";2012/7/27 0:00:00;70,00;1;0;
"N1L020Oct";"N1034";"N1";"N1L020";"water trough";2012/10/19 0:00:00;40,00;0;0;
"N1L020Sep";"N1034";"N1";"N1L020";"water trough";2012/9/20 0:00:00;50,00;0;0;
"N1L021Aug";"N1034";"N1";"N1L021";"water trough";2012/8/24 0:00:00;70,00;0;0;
"N1L021Jul";"N1034";"N1";"N1L021";"water trough";2012/7/27 0:00:00;60,00;0;0;
"N1L021Oct";"N1034";"N1";"N1L021";"water trough";2012/10/19 0:00:00;50,00;0;0;
"N1L021Sep";"N1034";"N1";"N1L021";"water trough";2012/9/20 0:00:00;50,00;0;0;
"N1L022Aug";"N1034";"N1";"N1L022";"tyre";2012/8/24 0:00:00;5,00;1;0;"6/14 courtyard, 3/9 in front"
"N1L022Jul";"N1034";"N1";"N1L022";"tyre";2012/7/27 0:00:00;5,00;1;0;"tyres on courtyard and in front checked"
"N1L022Oct";"N1034";"N1";"N1L022";"tyre";2012/10/19 0:00:00;5,00;1;0;"4/23 courtyard, 8/16 in front"
"N1L022Sep";"N1034";"N1";"N1L022";"tyre";2012/9/20 0:00:00;5,00;1;0;"6/11 courtyard, 7/9 in front"
"N1L023Aug";"N1039";"N1";"N1L023";"water trough";2012/8/24 0:00:00;70,00;1;0;
"N1L023Jul";"N1039";"N1";"N1L023";"water trough";2012/7/27 0:00:00;20,00;1;0;
"N1L023Oct";"N1039";"N1";"N1L023";"water trough";2012/10/19 0:00:00;10,00;1;0;
"N1L023Sep";"N1039";"N1";"N1L023";"water trough";2012/9/28 0:00:00;50,00;1;0;
"N1L024Aug";"N1034";"N1";"N1L024";"water trough";2012/8/24 0:00:00;70,00;1;0;
"N1L024Oct";"N1034";"N1";"N1L024";"water trough";2012/10/19 0:00:00;40,00;0;0;
"N1L024Sep";"N1034";"N1";"N1L024";"water trough";2012/9/20 0:00:00;50,00;0;0;
"N1L025Aug";"N1034";"N1";"N1L025";"mud puddle";2012/8/24 0:00:00;5,00;1;0;
"N1L025Oct";"N1034";"N1";"N1L025";"mud puddle";2012/10/19 0:00:00;5,00;0;0;
"N1L025Sep";"N1034";"N1";"N1L025";"mud puddle";2012/9/20 0:00:00;0,00;0;0;"dry"
"N1L026Aug";"N1039";"N1";"N1L026";"water trough";2012/8/24 0:00:00;70,00;0;0;
"N1L026Oct";"N1039";"N1";"N1L026";"water trough";2012/10/19 0:00:00;30,00;0;0;
"N1L026Sep";"N1039";"N1";"N1L026";"water trough";2012/9/28 0:00:00;30,00;0;0;"fresh water"
"N1L027Aug";"N1036";"N1";"N1L027";"plastic container";2012/8/31 0:00:00;30,00;1;0;
"N1L027Oct";"N1036";"N1";"N1L027";"plastic container";2012/10/26 0:00:00;20,00;1;0;
"N1L027Sep";"N1036";"N1";"N1L027";"plastic container";2012/9/28 0:00:00;30,00;1;0;
"N1L028Aug";"N1023";"N1";"N1L028";"water trough";2012/8/31 0:00:00;25,00;1;0;
"N1L028Oct";"N1023";"N1";"N1L028";"water trough";2012/10/26 0:00:00;25,00;0;0;
"N1L028Sep";"N1023";"N1";"N1L028";"water trough";2012/9/28 0:00:00;50,00;1;0;
"N1L029Aug";"N1024";"N1";"N1L029";"water trough";2012/8/31 0:00:00;20,00;0;0;
"N1L029Oct";"N1024";"N1";"N1L029";"water trough";2012/10/26 0:00:00;30,00;1;0;
"N1L029Sep";"N1024";"N1";"N1L029";"water trough";2012/9/28 0:00:00;50,00;1;0;
"N1L030Oc1";"N1005";"N1";"N1L030";"plant box";2012/10/19 0:00:00;5,00;1;1;
"N1L030Oc2";"N1005";"N1";"N1L030";"plant box";2012/10/26 0:00:00;8,00;1;1;
"PEL001Aug";"NA";"PE";"PEL001";"metal container";2012/8/14 0:00:00;25,00;0;0;
"PEL001Sep";"NA";"PE";"PEL001";"metal container";2012/9/11 0:00:00;10,00;0;0;
"PEL002Sep";"NA";"PE";"PEL002";"drain channel";2012/9/11 0:00:00;5,00;0;0;
"PGL001Sep";"NA";"PG";"PGL001";"drain channel";2012/9/3 0:00:00;5,00;0;0;
"TRL001Au1";"NA";"TR";"TRL001";"tyre";2012/8/2 0:00:00;20,00;1;0;
"TRL001Au2";"NA";"TR";"TRL001";"tyre";2012/8/20 0:00:00;15,00;1;0;"9/20"
"TRL001Jul";"NA";"TR";"TRL001";"tyre";2012/7/26 0:00:00;15,00;1;0;
"TRL001Oct";"NA";"TR";"TRL001";"tyre";2012/10/10 0:00:00;5,00;1;0;"11/20 AT?"
"TRL001Sep";"NA";"TR";"TRL001";"tyre";2012/9/10 0:00:00;10,00;1;0;"13/20"
"TRL002Au1";"NA";"TR";"TRL002";"tyre";2012/8/2 0:00:00;20,00;1;0;
"TRL002Au2";"NA";"TR";"TRL002";"tyre";2012/8/20 0:00:00;15,00;1;0;"6/20"
"VPL001Aug";"NA";"VP";"VPL001";"tyre";2012/8/16 0:00:00;15,00;1;0;"9/20"
"VPL001Jun";"NA";"VP";"VPL001";"tyre";2012/6/29 0:00:00;15,00;1;0;
"VPL001Oct";"NA";"VP";"VPL001";"tyre";2012/10/11 0:00:00;5,00;1;0;"9/20"
"VPL001Sep";"NA";"VP";"VPL001";"tyre";2012/9/5 0:00:00;5,00;1;0;"with net through 20 tyres"
