type,language,license,eventID,rightsHolder,accessRights,institutionCode,datasetName,datasetID,ownerInstitutionCode,countryCode,Municipality,locality,parentEventID,eventDate,verbatimEventDate,day,month,year,enddate,samplingProtocol,eventRemarks,verbatimLongitude,verbatimLatitude,decimalLongitude,decimalLatitude,geodeticDatum
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL01:12,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL01,Ruiselede:RL01,5-10-2009,5-10-2009/7-10-2009,5,10,2009,7-10-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL01:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL01,Ruiselede:RL01,18-05-2009,18-05-2009/20-05-2009,18,5,2009,20-05-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL01:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL01,Ruiselede:RL01,1-06-2009,1-06-2009/3-06-2009,1,6,2009,3-06-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL01:4,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL01,Ruiselede:RL01,15-06-2009,15-06-2009/17-06-2009,15,6,2009,17-06-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL01:5,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL01,Ruiselede:RL01,29-06-2009,29-06-2009/1-07-2009,29,6,2009,1-07-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL01:6,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL01,Ruiselede:RL01,13-07-2009,13-07-2009/15-07-2009,13,7,2009,15-07-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL01:7,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL01,Ruiselede:RL01,27-07-2009,27-07-2009/29-07-2009,27,7,2009,29-07-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL01:8,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL01,Ruiselede:RL01,10-08-2009,10-08-2009/12-08-2009,10,8,2009,12-08-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL01:9,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL01,Ruiselede:RL01,24-08-2009,24-08-2009/26-08-2009,24,8,2009,26-08-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL02:13,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL02,Ruiselede:RL02,4-05-2009,4-05-2009/6-05-2009,4,5,2009,6-05-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL02:14,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL02,Ruiselede:RL02,18-05-2009,18-05-2009/20-05-2009,18,5,2009,20-05-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL02:15,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL02,Ruiselede:RL02,1-06-2009,1-06-2009/3-06-2009,1,6,2009,3-06-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL02:16,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL02,Ruiselede:RL02,15-06-2009,15-06-2009/17-06-2009,15,6,2009,17-06-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL02:17,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL02,Ruiselede:RL02,29-06-2009,29-06-2009/1-07-2009,29,6,2009,1-07-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL02:18,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL02,Ruiselede:RL02,13-07-2009,13-07-2009/15-07-2009,13,7,2009,15-07-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL02:19,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL02,Ruiselede:RL02,27-07-2009,27-07-2009/29-07-2009,27,7,2009,29-07-2009,Gravid traps,{trapNumber:2},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL02:20,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL02,Ruiselede:RL02,10-08-2009,10-08-2009/12-08-2009,10,8,2009,12-08-2009,BG Sentinel ,{trapNumber:2},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL02:21,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL02,Ruiselede:RL02,24-08-2009,24-08-2009/26-08-2009,24,8,2009,26-08-2009,Gravid traps,{trapNumber:2},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Ruiselede:RL02:22,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Ruiselede,RL02,Ruiselede:RL02,7-09-2009,7-09-2009/9-09-2009,7,9,2009,9-09-2009,Gravid traps,{trapNumber:2},"  3 °22'28.60"""," 51 ° 4'22.87""",3.374444,51.072778,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Torhout:TH01:1,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Torhout,TH1,Torhout:T1,20-04-2009,20-04-2009/22-04-2009,20,4,2009,22-04-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1}," 3 °07'33.59""","51 °04'13.84""",3.125833,51.070278,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Torhout:TH01:10,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Torhout,TH1,Torhout:T1,24-08-2009,24-08-2009/26-08-2009,24,8,2009,26-08-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1}," 3 °07'33.59""","51 °04'13.84""",3.125833,51.070278,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Torhout:TH01:11,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Torhout,TH1,Torhout:T1,7-09-2009,7-09-2009/9-09-2009,7,9,2009,9-09-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1}," 3 °07'33.59""","51 °04'13.84""",3.125833,51.070278,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Torhout:TH01:12,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Torhout,TH1,Torhout:T1,21-09-2009,21-09-2009/23-09-2009,21,9,2009,23-09-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1}," 3 °07'33.59""","51 °04'13.84""",3.125833,51.070278,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Torhout:TH01:13,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Torhout,TH1,Torhout:T1,5-10-2009,5-10-2009/7-10-2009,5,10,2009,7-10-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1}," 3 °07'33.59""","51 °04'13.84""",3.125833,51.070278,WGS84
