gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1137096545	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2628	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	natuurgebied Hageven	37e82b90-1e21-11de-ab90-f72009d2669b	51.249722	5.41704							2008-05-06T02:00Z	6	5	2008	1652991	1652991	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096544	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2510	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	4 Booitshoekestraat	37e82b90-1e21-11de-ab90-f72009d2669b	51.095711	2.70109							2007-08-19T02:00Z	19	8	2007	1652991	1652991	HUMAN_OBSERVATION	UCL				Rien De Keyser	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096543	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2555	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	8 Rue Warsbecq	37e82b90-1e21-11de-ab90-f72009d2669b									2007-10-03T02:00Z	3	10	2007	1652991	1652991	HUMAN_OBSERVATION	KBIN				Stephane	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH
1137096542	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2601	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes vexans		SPECIES	Aedes vexans (Meigen, 1830)	BE	Noordlaan	37e82b90-1e21-11de-ab90-f72009d2669b	51.245739	4.95421							2007-08-28T02:00Z	28	8	2007	1652274	1652274	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-03-25T22:02Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096541	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2600	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes cinereus		SPECIES	Aedes cinereus Meigen, 1818	BE	Noordlaan	37e82b90-1e21-11de-ab90-f72009d2669b	51.245739	4.95421							2007-08-28T02:00Z	28	8	2007	1651718	1651718	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-03-26T05:29Z		RECORDED_DATE_MISMATCH;TAXON_MATCH_HIGHERRANK;COORDINATE_ROUNDED
1137096540	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2592	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes punctor		SPECIES	Ochlerotatus punctor (Kirby, 1837) Kirby, 1837	BE	24 Bruulstraat	37e82b90-1e21-11de-ab90-f72009d2669b	51.071232	4.79908							2007-06-18T02:00Z	18	6	2007	4519718	1652371	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096539	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2594	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	24 Bruulstraat	37e82b90-1e21-11de-ab90-f72009d2669b	51.071232	4.79908							2007-06-18T02:00Z	18	6	2007	1652991	1652991	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096538	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2658	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes rusticus		SPECIES	Ochlerotatus rusticus (Rossi, 1790) Rossi, 1790	BE	Chemin de Breberes	37e82b90-1e21-11de-ab90-f72009d2669b	50.664749	6.01292											4519735	1651877	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096537	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2611	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	BE	Meir	37e82b90-1e21-11de-ab90-f72009d2669b	51.42572	4.99479							2007-08-14T02:00Z	14	8	2007	1649565	1649565	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096536	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2585	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes vexans		SPECIES	Aedes vexans (Meigen, 1830)	BE	Driepaalweg	37e82b90-1e21-11de-ab90-f72009d2669b	51.038521	5.66941							2007-08-27T02:00Z	27	8	2007	1652274	1652274	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-03-25T22:02Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
